Title,Link,Price,Date Time,Location,Organiser,Website Link,Facebook Link,Twitter Link,Instagram Link
Agave Fest! - Dia de los Muertos,https://www.eventbrite.com/e/agave-fest-dia-de-los-muertos-tickets-727718273947?aff=ebdssbdestsearch,From $40.00,"Sun, Oct 29 •  12:00 PM ","Cien Agaves Tacos & Tequila 7228 East 1st Avenue Scottsdale, AZ 85251",Cien Agaves Tacos & Tequila,N/A,N/A,N/A,N/A
Agave Fest! - Dia de los Muertos,https://www.eventbrite.com/e/agave-fest-dia-de-los-muertos-tickets-727718273947?aff=ebdssbdestsearch,From $40.00,From $40.00,"Cien Agaves Tacos & Tequila 7228 East 1st Avenue Scottsdale, AZ 85251",Cien Agaves Tacos & Tequila,N/A,N/A,N/A,N/A
Estrella Fall Festival,https://www.eventbrite.com/e/estrella-fall-festival-tickets-722279686987?aff=ebdssbdestsearch,,"Sat, Oct 21 •  11:00 AM ","North Lake 10336 Estrella Parkway Goodyear, AZ 85338",Estrella,N/A,N/A,N/A,N/A
Estrella Fall Festival,https://www.eventbrite.com/e/estrella-fall-festival-tickets-722279686987?aff=ebdssbdestsearch,,N/A,"North Lake 10336 Estrella Parkway Goodyear, AZ 85338",Estrella,N/A,N/A,N/A,N/A
Free! Main Event Avondale: Halloween Spooktacular - RSVP ONLY,https://www.eventbrite.com/e/free-main-event-avondale-halloween-spooktacular-rsvp-only-tickets-722313036737?aff=ebdssbdestsearch,,"Mon, Oct 30 •  5:00 PM ","10315 W McDowell Rd 10315 West McDowell Road Avondale, AZ 85392",Main Event Avondale,N/A,N/A,N/A,N/A
Free! Main Event Avondale: Halloween Spooktacular - RSVP ONLY,https://www.eventbrite.com/e/free-main-event-avondale-halloween-spooktacular-rsvp-only-tickets-722313036737?aff=ebdssbdestsearch,,N/A,"10315 W McDowell Rd 10315 West McDowell Road Avondale, AZ 85392",Main Event Avondale,N/A,N/A,N/A,N/A
The Phoenix Pancakes & Booze Art Show,https://www.eventbrite.com/e/the-phoenix-pancakes-booze-art-show-tickets-685540097887?aff=ebdssbdestsearch,,"Sat, Nov 18 •  8:00 PM ","The Duce 525 South Central Avenue Phoenix, AZ 85004",The Pancakes & Booze Art Show,N/A,https://www.facebook.com/pancakesandboozeartshow,https://www.twitter.com/pancakesbooze,N/A
The Phoenix Pancakes & Booze Art Show,https://www.eventbrite.com/e/the-phoenix-pancakes-booze-art-show-tickets-685540097887?aff=ebdssbdestsearch,,N/A,"The Duce 525 South Central Avenue Phoenix, AZ 85004",The Pancakes & Booze Art Show,N/A,https://www.facebook.com/pancakesandboozeartshow,https://www.twitter.com/pancakesbooze,N/A
Billy Moore Days,https://www.eventbrite.com/e/billy-moore-days-tickets-697777991757?aff=ebdssbdestsearch,,"Thu, Oct 19 •  6:00 PM ","Dennis Deconcini Park 351 East Western Avenue Avondale, AZ 85323",City of Avondale Parks & Recreation,N/A,N/A,N/A,N/A
Billy Moore Days,https://www.eventbrite.com/e/billy-moore-days-tickets-697777991757?aff=ebdssbdestsearch,,N/A,"Dennis Deconcini Park 351 East Western Avenue Avondale, AZ 85323",City of Avondale Parks & Recreation,N/A,N/A,N/A,N/A
Seeding our Harvest: Festival of Learning & Community,https://www.eventbrite.com/e/seeding-our-harvest-festival-of-learning-community-tickets-712141302807?aff=ebdssbdestsearch,,"Sat, Oct 28 •  1:00 PM ","Nina Mason Pulliam Rio Salado Audubon Center 3131 South Central Avenue Phoenix, AZ 85040",Phoenix Food Co-op,N/A,N/A,N/A,N/A
Seeding our Harvest: Festival of Learning & Community,https://www.eventbrite.com/e/seeding-our-harvest-festival-of-learning-community-tickets-712141302807?aff=ebdssbdestsearch,,N/A,"Nina Mason Pulliam Rio Salado Audubon Center 3131 South Central Avenue Phoenix, AZ 85040",Phoenix Food Co-op,N/A,N/A,N/A,N/A
Roosevelt Row Fall 2023 Saturday A.R.T.S. Market (Special Event),https://www.eventbrite.com/e/roosevelt-row-fall-2023-saturday-arts-market-special-event-tickets-732200079147?aff=ebdssbdestsearch,,Saturday • 10:00 AM,"Roosevelt Row Welcome Center 918 N 2nd St Phoenix, AZ 85004",Roosevelt Row CDC,N/A,https://www.facebook.com/RooseveltRowCDC,https://www.twitter.com/RooseveltRow,N/A
Roosevelt Row Fall 2023 Saturday A.R.T.S. Market (Special Event),https://www.eventbrite.com/e/roosevelt-row-fall-2023-saturday-arts-market-special-event-tickets-732200079147?aff=ebdssbdestsearch,,N/A,"Roosevelt Row Welcome Center 918 N 2nd St Phoenix, AZ 85004",Roosevelt Row CDC,N/A,https://www.facebook.com/RooseveltRowCDC,https://www.twitter.com/RooseveltRow,N/A
Roosevelt Row Fall 2023 Freaky Friday Night A.R.T.S. Market,https://www.eventbrite.com/e/roosevelt-row-fall-2023-freaky-friday-night-arts-market-tickets-732208183387?aff=ebdssbdestsearch,,Tomorrow • 5:00 PM,"Roosevelt Row Welcome Center 918 N 2nd St Phoenix, AZ 85004",Roosevelt Row CDC,N/A,https://www.facebook.com/RooseveltRowCDC,https://www.twitter.com/RooseveltRow,N/A
Roosevelt Row Fall 2023 Freaky Friday Night A.R.T.S. Market,https://www.eventbrite.com/e/roosevelt-row-fall-2023-freaky-friday-night-arts-market-tickets-732208183387?aff=ebdssbdestsearch,,N/A,"Roosevelt Row Welcome Center 918 N 2nd St Phoenix, AZ 85004",Roosevelt Row CDC,N/A,https://www.facebook.com/RooseveltRowCDC,https://www.twitter.com/RooseveltRow,N/A
Tricks & Treats Fall Festival,https://www.eventbrite.com/e/tricks-treats-fall-festival-tickets-733846644067?aff=ebdssbdestsearch,,"Sat, Oct 28 •  3:00 PM ","The Studance Lab, North Fairway Drive, Avondale, AZ, USA 1050 North Fairway Drive #G101 Avondale, AZ 85323",The Studance Lab,https://studancelab.com/,N/A,N/A,N/A
Tricks & Treats Fall Festival,https://www.eventbrite.com/e/tricks-treats-fall-festival-tickets-733846644067?aff=ebdssbdestsearch,,N/A,"The Studance Lab, North Fairway Drive, Avondale, AZ, USA 1050 North Fairway Drive #G101 Avondale, AZ 85323",The Studance Lab,https://studancelab.com/,N/A,N/A,N/A
Roosevelt Row Fall 2023 Sunday A.R.T.S. Market,https://www.eventbrite.com/e/roosevelt-row-fall-2023-sunday-arts-market-tickets-732205886517?aff=ebdssbdestsearch,,Sunday • 10:00 AM,"Roosevelt Row Welcome Center 918 N 2nd St Phoenix, AZ 85004",Roosevelt Row CDC,N/A,https://www.facebook.com/RooseveltRowCDC,https://www.twitter.com/RooseveltRow,N/A
Roosevelt Row Fall 2023 Sunday A.R.T.S. Market,https://www.eventbrite.com/e/roosevelt-row-fall-2023-sunday-arts-market-tickets-732205886517?aff=ebdssbdestsearch,,N/A,"Roosevelt Row Welcome Center 918 N 2nd St Phoenix, AZ 85004",Roosevelt Row CDC,N/A,https://www.facebook.com/RooseveltRowCDC,https://www.twitter.com/RooseveltRow,N/A
Roosevelt Row Fall 2023 Saturday Shaded A.R.T.S. Market,https://www.eventbrite.com/e/roosevelt-row-fall-2023-saturday-shaded-arts-market-tickets-732202065087?aff=ebdssbdestsearch,,Saturday • 10:00 AM,"1st St and Roosevelt 919 North 1st Street Phoenix, AZ 85004",Roosevelt Row CDC,N/A,https://www.facebook.com/RooseveltRowCDC,https://www.twitter.com/RooseveltRow,N/A
Roosevelt Row Fall 2023 Saturday Shaded A.R.T.S. Market,https://www.eventbrite.com/e/roosevelt-row-fall-2023-saturday-shaded-arts-market-tickets-732202065087?aff=ebdssbdestsearch,,N/A,"1st St and Roosevelt 919 North 1st Street Phoenix, AZ 85004",Roosevelt Row CDC,N/A,https://www.facebook.com/RooseveltRowCDC,https://www.twitter.com/RooseveltRow,N/A
Ganbatte Night Market,https://www.eventbrite.com/e/ganbatte-night-market-tickets-707097145597?aff=ebdssbdestsearch,,"Sat, Dec 16 •  12:00 PM ","Northwest Lot 1 Cardinals Dr Glendale, AZ 85305 1 Cardinals Drive Glendale, AZ 85305",Ganbatte popup LLC,https://www.ganbattepopup.com,N/A,N/A,N/A
Ganbatte Night Market,https://www.eventbrite.com/e/ganbatte-night-market-tickets-707097145597?aff=ebdssbdestsearch,,N/A,"Northwest Lot 1 Cardinals Dr Glendale, AZ 85305 1 Cardinals Drive Glendale, AZ 85305",Ganbatte popup LLC,https://www.ganbattepopup.com,N/A,N/A,N/A
Kindergarten Fall Fun Night,https://www.eventbrite.com/e/kindergarten-fall-fun-night-tickets-733542283717?aff=ebdssbdestsearch,,"Tue, Nov 7 •  5:00 PM ","Legacy Traditional School - Laveen 7900 South 43rd Avenue Phoenix, AZ 85339",Legacy Traditional Schools,http://legacytraditional.org,https://www.facebook.com/LegacyTraditionalSchools,https://www.twitter.com/LTSDistrict,N/A
Kindergarten Fall Fun Night,https://www.eventbrite.com/e/kindergarten-fall-fun-night-tickets-733542283717?aff=ebdssbdestsearch,,N/A,"Legacy Traditional School - Laveen 7900 South 43rd Avenue Phoenix, AZ 85339",Legacy Traditional Schools,http://legacytraditional.org,https://www.facebook.com/LegacyTraditionalSchools,https://www.twitter.com/LTSDistrict,N/A
Dec 8th Holiday Market & Tree Lighting - Goodyear City Hall,https://www.eventbrite.com/e/dec-8th-holiday-market-tree-lighting-goodyear-city-hall-tickets-727219231297?aff=ebdssbdestsearch,,"Fri, Dec 8 •  5:00 PM ","1900 N Civic Sq 1900 North Civic Square Goodyear, AZ 85395",Food Truck Next,https://foodtrucknext.com/food-truck-events,https://www.facebook.com/902721043824169,N/A,N/A
Dec 8th Holiday Market & Tree Lighting - Goodyear City Hall,https://www.eventbrite.com/e/dec-8th-holiday-market-tree-lighting-goodyear-city-hall-tickets-727219231297?aff=ebdssbdestsearch,,N/A,"1900 N Civic Sq 1900 North Civic Square Goodyear, AZ 85395",Food Truck Next,https://foodtrucknext.com/food-truck-events,https://www.facebook.com/902721043824169,N/A,N/A
JC Harvest Fair,https://www.eventbrite.com/e/jc-harvest-fair-tickets-722989389727?aff=ebdssbdestsearch,,"Sat, Oct 28 •  12:00 PM ","2330 North 75th Avenue, Phoenix, AZ, USA 2330 North 75th Avenue Phoenix, AZ 85035",Tish Times,http://tishtimes.com,https://www.facebook.com/CoachTishTimes,https://www.twitter.com/tishtimes,N/A
JC Harvest Fair,https://www.eventbrite.com/e/jc-harvest-fair-tickets-722989389727?aff=ebdssbdestsearch,,N/A,"2330 North 75th Avenue, Phoenix, AZ, USA 2330 North 75th Avenue Phoenix, AZ 85035",Tish Times,http://tishtimes.com,https://www.facebook.com/CoachTishTimes,https://www.twitter.com/tishtimes,N/A
Fall Festival,https://www.eventbrite.com/e/fall-festival-tickets-718841513317?aff=ebdssbdestsearch,,"Fri, Oct 20 •  5:00 PM ","3950 N 53rd Ave 3950 North 53rd Avenue Phoenix, AZ 85031",EAGLE College Preparatory School,N/A,N/A,N/A,N/A
Fall Festival,https://www.eventbrite.com/e/fall-festival-tickets-718841513317?aff=ebdssbdestsearch,,N/A,"3950 N 53rd Ave 3950 North 53rd Avenue Phoenix, AZ 85031",EAGLE College Preparatory School,N/A,N/A,N/A,N/A
Haunted Harmony Art Fest,https://www.eventbrite.com/e/haunted-harmony-art-fest-tickets-705680267677?aff=ebdssbdestsearch,,"Sat, Oct 28 •  5:00 PM ","1145 E Washington St 1145 East Washington Street Phoenix, AZ 85034",N/A,N/A,N/A,N/A,N/A
Haunted Harmony Art Fest,https://www.eventbrite.com/e/haunted-harmony-art-fest-tickets-705680267677?aff=ebdssbdestsearch,,N/A,"1145 E Washington St 1145 East Washington Street Phoenix, AZ 85034",N/A,N/A,N/A,N/A,N/A
Roosevelt Row Fall 2023 Third Friday Night A.R.T.S. Market,https://www.eventbrite.com/e/roosevelt-row-fall-2023-third-friday-night-arts-market-tickets-736201748247?aff=ebdssbdestsearch,,"Fri, Oct 20 •  5:00 PM ","Roosevelt Row Welcome Center 918 N 2nd St Phoenix, AZ 85004",Roosevelt Row CDC,N/A,https://www.facebook.com/RooseveltRowCDC,https://www.twitter.com/RooseveltRow,N/A
Roosevelt Row Fall 2023 Third Friday Night A.R.T.S. Market,https://www.eventbrite.com/e/roosevelt-row-fall-2023-third-friday-night-arts-market-tickets-736201748247?aff=ebdssbdestsearch,,N/A,"Roosevelt Row Welcome Center 918 N 2nd St Phoenix, AZ 85004",Roosevelt Row CDC,N/A,https://www.facebook.com/RooseveltRowCDC,https://www.twitter.com/RooseveltRow,N/A
Phoenix Pizza Festival,https://www.eventbrite.com/e/phoenix-pizza-festival-tickets-653020530987?aff=ebdssbdestsearch,,"Sat, Nov 11 •  11:00 AM  + 1 more","Hance Park 1202 North 3rd Street Phoenix, AZ 85004",PHX Fest,http://www.phxfest.com,N/A,N/A,N/A
Phoenix Pizza Festival,https://www.eventbrite.com/e/phoenix-pizza-festival-tickets-653020530987?aff=ebdssbdestsearch,,N/A,"Hance Park 1202 North 3rd Street Phoenix, AZ 85004",PHX Fest,http://www.phxfest.com,N/A,N/A,N/A
Roosevelt Row Fall 2023 Saturday A.R.T.S. Market (Day and Night),https://www.eventbrite.com/e/roosevelt-row-fall-2023-saturday-arts-market-day-and-night-tickets-736205078207?aff=ebdssbdestsearch,,"Sat, Oct 21 •  10:00 AM ","Roosevelt Row Welcome Center 918 N 2nd St Phoenix, AZ 85004",Roosevelt Row CDC,N/A,https://www.facebook.com/RooseveltRowCDC,https://www.twitter.com/RooseveltRow,N/A
Roosevelt Row Fall 2023 Saturday A.R.T.S. Market (Day and Night),https://www.eventbrite.com/e/roosevelt-row-fall-2023-saturday-arts-market-day-and-night-tickets-736205078207?aff=ebdssbdestsearch,,N/A,"Roosevelt Row Welcome Center 918 N 2nd St Phoenix, AZ 85004",Roosevelt Row CDC,N/A,https://www.facebook.com/RooseveltRowCDC,https://www.twitter.com/RooseveltRow,N/A
Pop-Up Festival,https://www.eventbrite.com/e/pop-up-festival-tickets-527492934567?aff=ebdssbdestsearch,,"Sat, Nov 4 •  10:00 AM ","Neighborhood Ministries 1918 West Van Buren Street Phoenix, AZ 85009",Ser-Kallai,https://serkallai.org/,https://www.facebook.com/Ser-Kallai,https://www.twitter.com/SerKallai,N/A
Pop-Up Festival,https://www.eventbrite.com/e/pop-up-festival-tickets-527492934567?aff=ebdssbdestsearch,,N/A,"Neighborhood Ministries 1918 West Van Buren Street Phoenix, AZ 85009",Ser-Kallai,https://serkallai.org/,https://www.facebook.com/Ser-Kallai,https://www.twitter.com/SerKallai,N/A
Agave Fest! - Dia de los Muertos,https://www.eventbrite.com/e/agave-fest-dia-de-los-muertos-tickets-727718273947?aff=ebdssbdestsearch,From $40.00,"Sun, Oct 29 •  12:00 PM ","Cien Agaves Tacos & Tequila 7228 East 1st Avenue Scottsdale, AZ 85251",Cien Agaves Tacos & Tequila,N/A,N/A,N/A,N/A
Agave Fest! - Dia de los Muertos,https://www.eventbrite.com/e/agave-fest-dia-de-los-muertos-tickets-727718273947?aff=ebdssbdestsearch,From $40.00,From $40.00,"Cien Agaves Tacos & Tequila 7228 East 1st Avenue Scottsdale, AZ 85251",Cien Agaves Tacos & Tequila,N/A,N/A,N/A,N/A
"2023 The Avalanche Sale Phoenix, Ski & Snowboard Swap, Nov 3 - 5",https://www.eventbrite.com/e/2023-the-avalanche-sale-phoenix-ski-snowboard-swap-nov-3-5-tickets-673851908197?aff=ebdssbdestsearch,,"Fri, Nov 3 •  5:00 PM ","Phoenix Convention Center 100 South 3rd Street Phoenix, AZ 85004",The Avalanche Sale,N/A,https://www.facebook.com/470573064238848,N/A,N/A
"2023 The Avalanche Sale Phoenix, Ski & Snowboard Swap, Nov 3 - 5",https://www.eventbrite.com/e/2023-the-avalanche-sale-phoenix-ski-snowboard-swap-nov-3-5-tickets-673851908197?aff=ebdssbdestsearch,,N/A,"Phoenix Convention Center 100 South 3rd Street Phoenix, AZ 85004",The Avalanche Sale,N/A,https://www.facebook.com/470573064238848,N/A,N/A
VIDA FEST  CELEBRATION OF LIFE,https://www.eventbrite.com/e/vida-fest-celebration-of-life-tickets-730608368297?aff=ebdssbdestsearch,,"Sat, Oct 21 •  3:30 PM ","4848 S 2nd St 4848 South 2nd Street Phoenix, AZ 85040",Voces Unidas por la Vida,N/A,https://www.facebook.com/voces.porlavida,N/A,N/A
VIDA FEST  CELEBRATION OF LIFE,https://www.eventbrite.com/e/vida-fest-celebration-of-life-tickets-730608368297?aff=ebdssbdestsearch,,N/A,"4848 S 2nd St 4848 South 2nd Street Phoenix, AZ 85040",Voces Unidas por la Vida,N/A,https://www.facebook.com/voces.porlavida,N/A,N/A
