Title,Link,Price,Date Time,Location,Organiser,Website Link,Facebook Link,Twitter Link,Instagram Link
Dallas Soul Food Festival,https://www.eventbrite.com/e/dallas-soul-food-festival-tickets-690409803307?aff=ebdssbdestsearch,,"Sun, Oct 22 •  12:00 PM ","Lofty Spaces 816 Montgomery Street Dallas, TX 75215",Elite Experience Events Cultural Organization,N/A,https://www.facebook.com/events/404053007083516,N/A,N/A
Dallas Soul Food Festival,https://www.eventbrite.com/e/dallas-soul-food-festival-tickets-690409803307?aff=ebdssbdestsearch,,N/A,"Lofty Spaces 816 Montgomery Street Dallas, TX 75215",Elite Experience Events Cultural Organization,N/A,https://www.facebook.com/events/404053007083516,N/A,N/A
Texas Food Fest in Houston,https://www.eventbrite.com/e/texas-food-fest-in-houston-tickets-706868501717?aff=ebdssbdestsearch,,"Sun, Oct 29 •  12:00 PM ","Ths Zone 10371 Stella Link rd Houston, TX 75201",Elite Experience Events Cultural Organization,N/A,https://www.facebook.com/events/404053007083516,N/A,N/A
Texas Food Fest in Houston,https://www.eventbrite.com/e/texas-food-fest-in-houston-tickets-706868501717?aff=ebdssbdestsearch,,N/A,"Ths Zone 10371 Stella Link rd Houston, TX 75201",Elite Experience Events Cultural Organization,N/A,https://www.facebook.com/events/404053007083516,N/A,N/A
Texas Taco Festival,https://www.eventbrite.com/e/texas-taco-festival-tickets-660607343347?aff=ebdssbdestsearch,,"Sat, Nov 4 •  2:00 PM ","Texas Live! 1650 East Randol Mill Road Arlington, TX 76011",A Taste of Your Town,N/A,N/A,N/A,N/A
Texas Taco Festival,https://www.eventbrite.com/e/texas-taco-festival-tickets-660607343347?aff=ebdssbdestsearch,,N/A,"Texas Live! 1650 East Randol Mill Road Arlington, TX 76011",A Taste of Your Town,N/A,N/A,N/A,N/A
5th Annual FAME FEST presented by Fitness Ambassadors,https://www.eventbrite.com/e/5th-annual-fame-fest-presented-by-fitness-ambassadors-tickets-506524086177?aff=ebdssbdestsearch,,Saturday • 8:00 AM,"Omni Dallas Hotel 555 South Lamar Street Dallas, TX 75202",Fitness Ambassadors,https://www.fitnessambassadors.com/,https://www.facebook.com/events/180114749398177,N/A,N/A
5th Annual FAME FEST presented by Fitness Ambassadors,https://www.eventbrite.com/e/5th-annual-fame-fest-presented-by-fitness-ambassadors-tickets-506524086177?aff=ebdssbdestsearch,,N/A,"Omni Dallas Hotel 555 South Lamar Street Dallas, TX 75202",Fitness Ambassadors,https://www.fitnessambassadors.com/,https://www.facebook.com/events/180114749398177,N/A,N/A
"Top Dollar Festival | Performances by Deebaby, Big Boogie, NoCap & More",https://www.eventbrite.com/e/top-dollar-festival-performances-by-deebaby-big-boogie-nocap-more-tickets-573314257377?aff=ebdssbdestsearch,,"Sun, Oct 29 •  12:00 PM ","Cedar Canyon Ranch & Event Center 4523 North Houston School Road Lancaster, TX 75134",Top Dollar Kennels,N/A,N/A,N/A,N/A
"Top Dollar Festival | Performances by Deebaby, Big Boogie, NoCap & More",https://www.eventbrite.com/e/top-dollar-festival-performances-by-deebaby-big-boogie-nocap-more-tickets-573314257377?aff=ebdssbdestsearch,,N/A,"Cedar Canyon Ranch & Event Center 4523 North Houston School Road Lancaster, TX 75134",Top Dollar Kennels,N/A,N/A,N/A,N/A
