Title,Link,Price,Date Time,Location,Organiser,Website Link,Facebook Link,Twitter Link,Instagram Link
Harvest Your Health Community Health Fair,https://www.eventbrite.com/e/harvest-your-health-community-health-fair-tickets-706319359217?aff=ebdssbdestsearch,Free,Free,"Knollwood Country Club 12040 Balboa Boulevard Los Angeles, CA 91344",HealthyWay,N/A,https://www.facebook.com/regalmed,N/A,N/A
Harvest Your Health Community Health Fair,https://www.eventbrite.com/e/harvest-your-health-community-health-fair-tickets-706319359217?aff=ebdssbdestsearch,Free,Free,"Knollwood Country Club 12040 Balboa Boulevard Los Angeles, CA 91344",HealthyWay,N/A,https://www.facebook.com/regalmed,N/A,N/A
Black Women In Comedy Festival,https://www.eventbrite.com/e/black-women-in-comedy-festival-tickets-503071158377?aff=ebdssbdestsearch,From $30.00,Saturday • 8:00 AM,"660 N Heliotrope Dr  Los Angeles, CA 90004 660 n heliotrope dr. Los Angeles, CA 90004",A Soul Sista Productions,N/A,https://www.facebook.com/Soulsistacomedy,https://www.twitter.com/Soulsistacomedy,N/A
Black Women In Comedy Festival,https://www.eventbrite.com/e/black-women-in-comedy-festival-tickets-503071158377?aff=ebdssbdestsearch,From $30.00,From $30.00,"660 N Heliotrope Dr  Los Angeles, CA 90004 660 n heliotrope dr. Los Angeles, CA 90004",A Soul Sista Productions,N/A,https://www.facebook.com/Soulsistacomedy,https://www.twitter.com/Soulsistacomedy,N/A
Superfine Art Fair | LA 2023,https://www.eventbrite.com/e/superfine-art-fair-la-2023-tickets-704911448117?aff=ebdssbdestsearch,,Today • 6:00 PM,"Magic Box LA 1933 S Broadway St Los Angeles, CA 90007",Superfine! Art Fair,N/A,https://www.facebook.com/superfinefair,https://www.twitter.com/superfine_fair,N/A
Superfine Art Fair | LA 2023,https://www.eventbrite.com/e/superfine-art-fair-la-2023-tickets-704911448117?aff=ebdssbdestsearch,,N/A,"Magic Box LA 1933 S Broadway St Los Angeles, CA 90007",Superfine! Art Fair,N/A,https://www.facebook.com/superfinefair,https://www.twitter.com/superfine_fair,N/A
Sushi & Sake Festival 2023,https://www.eventbrite.com/e/sushi-sake-festival-2023-tickets-718670140737?aff=ebdssbdestsearch,,"Sun, Oct 29 •  11:00 AM ","Hilton Los Angeles/Universal City, Universal Hollywood Drive, ユニバーサル・シティ カリフォルニア州 アメリカ合衆国 555 Universal Hollywood Drive Universal City, CA 91608",Japanese Restaurant Association of America,http://www.jraamerica.org/ja/,https://www.facebook.com/100065038832319,N/A,N/A
Sushi & Sake Festival 2023,https://www.eventbrite.com/e/sushi-sake-festival-2023-tickets-718670140737?aff=ebdssbdestsearch,,N/A,"Hilton Los Angeles/Universal City, Universal Hollywood Drive, ユニバーサル・シティ カリフォルニア州 アメリカ合衆国 555 Universal Hollywood Drive Universal City, CA 91608",Japanese Restaurant Association of America,http://www.jraamerica.org/ja/,https://www.facebook.com/100065038832319,N/A,N/A
FLAMINGOFEST 2023 - URL BECOMES IRL,https://www.eventbrite.co.uk/e/flamingofest-2023-url-becomes-irl-tickets-662912909357?aff=ebdssbdestsearch,,"Sat, Nov 4 •  2:00 PM ","Catch One 4067 West Pico Boulevard Los Angeles, CA 90019",My Pet Flamingo & Utopia District,N/A,N/A,N/A,N/A
FLAMINGOFEST 2023 - URL BECOMES IRL,https://www.eventbrite.co.uk/e/flamingofest-2023-url-becomes-irl-tickets-662912909357?aff=ebdssbdestsearch,,N/A,"Catch One 4067 West Pico Boulevard Los Angeles, CA 90019",My Pet Flamingo & Utopia District,N/A,N/A,N/A,N/A
