Title,Link,Price,Date Time,Location,Organiser,Website Link,Facebook Link,Twitter Link,Instagram Link
2023 IFPDA Print Fair,https://www.eventbrite.com/e/2023-ifpda-print-fair-tickets-632870140627?aff=ebdssbdestsearch,,"Thu, Oct 26 •  12:00 PM ","Jacob K. Javits Convention Center 655 West 34th Street River Pavilion New York, NY 10001",IFPDA | International Fine Print Dealers Assoc,https://www.ifpda.org/,https://www.facebook.com/ifpda,N/A,N/A
2023 IFPDA Print Fair,https://www.eventbrite.com/e/2023-ifpda-print-fair-tickets-632870140627?aff=ebdssbdestsearch,,N/A,"Jacob K. Javits Convention Center 655 West 34th Street River Pavilion New York, NY 10001",IFPDA | International Fine Print Dealers Assoc,https://www.ifpda.org/,https://www.facebook.com/ifpda,N/A,N/A
New York African Restaurant Week  Festival 2023,https://www.eventbrite.com/e/new-york-african-restaurant-week-festival-2023-tickets-258083844727?aff=ebdssbdestsearch,,Saturday • 11:00 AM,"City College - Harlem 160 Convent Avenue New York, NY 10031",African Restaurant Week,http://africanrestaurantweek.com,https://www.facebook.com/nyafricanrestaurantweek,N/A,N/A
New York African Restaurant Week  Festival 2023,https://www.eventbrite.com/e/new-york-african-restaurant-week-festival-2023-tickets-258083844727?aff=ebdssbdestsearch,,N/A,"City College - Harlem 160 Convent Avenue New York, NY 10031",African Restaurant Week,http://africanrestaurantweek.com,https://www.facebook.com/nyafricanrestaurantweek,N/A,N/A
Chelsea Film Festival 2023 Passes,https://www.eventbrite.com/e/chelsea-film-festival-2023-passes-tickets-662463184217?aff=ebdssbdestsearch,,Tomorrow • 6:00 PM,"Regal Union Square 4DX & ScreenX 850 Broadway New York, NY 10003",Chelsea Film Festival,N/A,https://www.facebook.com/chelseafilmfestival,https://www.twitter.com/chelseafilm,N/A
Chelsea Film Festival 2023 Passes,https://www.eventbrite.com/e/chelsea-film-festival-2023-passes-tickets-662463184217?aff=ebdssbdestsearch,,N/A,"Regal Union Square 4DX & ScreenX 850 Broadway New York, NY 10003",Chelsea Film Festival,N/A,https://www.facebook.com/chelseafilmfestival,https://www.twitter.com/chelseafilm,N/A
A Current Affair: Pop Up Vintage Marketplace in Brooklyn | Fall 2023,https://www.eventbrite.com/e/a-current-affair-pop-up-vintage-marketplace-in-brooklyn-fall-2023-tickets-606863694647?aff=ebdssbdestsearch,,Saturday • 12:00 PM,"Industry City 51 34th street Brooklyn, NY 11232",A Current Affair,http://itsacurrentaffair.com,https://www.facebook.com/itsacurrentaffair,N/A,N/A
A Current Affair: Pop Up Vintage Marketplace in Brooklyn | Fall 2023,https://www.eventbrite.com/e/a-current-affair-pop-up-vintage-marketplace-in-brooklyn-fall-2023-tickets-606863694647?aff=ebdssbdestsearch,,N/A,"Industry City 51 34th street Brooklyn, NY 11232",A Current Affair,http://itsacurrentaffair.com,https://www.facebook.com/itsacurrentaffair,N/A,N/A
NYC Fungus Festival 2023,https://www.eventbrite.com/e/nyc-fungus-festival-2023-tickets-707452468377?aff=ebdssbdestsearch,,Sunday • 11:00 AM,"Randall's Island Urban Farm Wards Meadow Loop New York, NY 10035",New York Mycological Society,https://newyorkmyc.org,N/A,N/A,N/A
NYC Fungus Festival 2023,https://www.eventbrite.com/e/nyc-fungus-festival-2023-tickets-707452468377?aff=ebdssbdestsearch,,N/A,"Randall's Island Urban Farm Wards Meadow Loop New York, NY 10035",New York Mycological Society,https://newyorkmyc.org,N/A,N/A,N/A
