Title,Link,Price,Date Time,Location,Organiser,Website Link,Facebook Link,Twitter Link,Instagram Link
Howl-O-Ween at Wind Wolves Preserve,https://www.eventbrite.com/e/howl-o-ween-at-wind-wolves-preserve-registration-720597706137?aff=ebdssbdestsearch,,"Sat, Oct 21 •  2:00 PM ","Wind Wolves Preserve 16019 Hwy 166 Bakersfield, CA 93311",The Wildlands Conservancy  |  Wind Wolves Preserve,https://wildlandsconesrvancy.org/preserves/windwolves,https://www.facebook.com/WindWolvesPreserve,N/A,N/A
Howl-O-Ween at Wind Wolves Preserve,https://www.eventbrite.com/e/howl-o-ween-at-wind-wolves-preserve-registration-720597706137?aff=ebdssbdestsearch,,N/A,"Wind Wolves Preserve 16019 Hwy 166 Bakersfield, CA 93311",The Wildlands Conservancy  |  Wind Wolves Preserve,https://wildlandsconesrvancy.org/preserves/windwolves,https://www.facebook.com/WindWolvesPreserve,N/A,N/A
Tule Elk Reserve Tour-Heartland Charter School,https://www.eventbrite.com/e/tule-elk-reserve-tour-heartland-charter-school-tickets-703782772217?aff=ebdssbdestsearch,,"Mon, Nov 6 •  8:30 AM ","Tule Elk Reserve State Natural Reserve 8653 Station Road Buttonwillow, CA 93206",Heartland Charter School,https://heartlandcharterschool.com/,N/A,N/A,N/A
Tule Elk Reserve Tour-Heartland Charter School,https://www.eventbrite.com/e/tule-elk-reserve-tour-heartland-charter-school-tickets-703782772217?aff=ebdssbdestsearch,,N/A,"Tule Elk Reserve State Natural Reserve 8653 Station Road Buttonwillow, CA 93206",Heartland Charter School,https://heartlandcharterschool.com/,N/A,N/A,N/A
Wild Kidz- Wind Wolves Preserve,https://www.eventbrite.com/e/wild-kidz-wind-wolves-preserve-registration-722477358227?aff=ebdssbdestsearch,,"Sat, Dec 2 •  12:30 PM ","Wind Wolves Preserve 16019 Hwy 166 Bakersfield, CA 93311",The Wildlands Conservancy  |  Wind Wolves Preserve,https://wildlandsconesrvancy.org/preserves/windwolves,https://www.facebook.com/WindWolvesPreserve,N/A,N/A
Wild Kidz- Wind Wolves Preserve,https://www.eventbrite.com/e/wild-kidz-wind-wolves-preserve-registration-722477358227?aff=ebdssbdestsearch,,N/A,"Wind Wolves Preserve 16019 Hwy 166 Bakersfield, CA 93311",The Wildlands Conservancy  |  Wind Wolves Preserve,https://wildlandsconesrvancy.org/preserves/windwolves,https://www.facebook.com/WindWolvesPreserve,N/A,N/A
Western Sky Dairy Tour- Heartland Charter School,https://www.eventbrite.com/e/western-sky-dairy-tour-heartland-charter-school-tickets-651192723967?aff=ebdssbdestsearch,,"Thu, Oct 26 •  10:00 AM ","Western sky dairy 18501 Old River Road Bakersfield, CA 93311",Heartland Charter School,https://heartlandcharterschool.com/,N/A,N/A,N/A
Western Sky Dairy Tour- Heartland Charter School,https://www.eventbrite.com/e/western-sky-dairy-tour-heartland-charter-school-tickets-651192723967?aff=ebdssbdestsearch,,N/A,"Western sky dairy 18501 Old River Road Bakersfield, CA 93311",Heartland Charter School,https://heartlandcharterschool.com/,N/A,N/A,N/A
9th Annual Spring Nature Festival- Wind Wolves Preserve,https://www.eventbrite.com/e/9th-annual-spring-nature-festival-wind-wolves-preserve-registration-724169529557?aff=ebdssbdestsearch,,"Sat, Apr 6 •  10:00 AM ","Wind Wolves Preserve 16019 Hwy 166 Bakersfield, CA 93311",The Wildlands Conservancy  |  Wind Wolves Preserve,https://wildlandsconesrvancy.org/preserves/windwolves,https://www.facebook.com/WindWolvesPreserve,N/A,N/A
9th Annual Spring Nature Festival- Wind Wolves Preserve,https://www.eventbrite.com/e/9th-annual-spring-nature-festival-wind-wolves-preserve-registration-724169529557?aff=ebdssbdestsearch,,N/A,"Wind Wolves Preserve 16019 Hwy 166 Bakersfield, CA 93311",The Wildlands Conservancy  |  Wind Wolves Preserve,https://wildlandsconesrvancy.org/preserves/windwolves,https://www.facebook.com/WindWolvesPreserve,N/A,N/A
Wind Wolves Curious Explorer-Heartland Charter School,https://www.eventbrite.com/e/wind-wolves-curious-explorer-heartland-charter-school-tickets-648210704667?aff=ebdssbdestsearch,,"Fri, Nov 3 •  10:00 AM ","Wind Wolves Preserve 16019 California 166 Bakersfield, CA 93311",Heartland Charter School,https://heartlandcharterschool.com/,N/A,N/A,N/A
Wind Wolves Curious Explorer-Heartland Charter School,https://www.eventbrite.com/e/wind-wolves-curious-explorer-heartland-charter-school-tickets-648210704667?aff=ebdssbdestsearch,,N/A,"Wind Wolves Preserve 16019 California 166 Bakersfield, CA 93311",Heartland Charter School,https://heartlandcharterschool.com/,N/A,N/A,N/A
For the Birds Event- Wind Wolves Preserve,https://www.eventbrite.com/e/for-the-birds-event-wind-wolves-preserve-registration-724099550247?aff=ebdssbdestsearch,,"Sat, Feb 17 •  12:30 PM ","Wind Wolves Preserve 16019 Hwy 166 Bakersfield, CA 93311",The Wildlands Conservancy  |  Wind Wolves Preserve,https://wildlandsconesrvancy.org/preserves/windwolves,https://www.facebook.com/WindWolvesPreserve,N/A,N/A
For the Birds Event- Wind Wolves Preserve,https://www.eventbrite.com/e/for-the-birds-event-wind-wolves-preserve-registration-724099550247?aff=ebdssbdestsearch,,N/A,"Wind Wolves Preserve 16019 Hwy 166 Bakersfield, CA 93311",The Wildlands Conservancy  |  Wind Wolves Preserve,https://wildlandsconesrvancy.org/preserves/windwolves,https://www.facebook.com/WindWolvesPreserve,N/A,N/A
St Demiana Church Festival,https://www.eventbrite.com/e/st-demiana-church-festival-tickets-729963278817?aff=ebdssbdestsearch,,"Sat, Oct 21 •  11:00 AM ","9200 White Lane, Bakersfield, CA, USA 9200 White Lane Bakersfield, CA 93311",N/A,N/A,N/A,N/A,N/A
St Demiana Church Festival,https://www.eventbrite.com/e/st-demiana-church-festival-tickets-729963278817?aff=ebdssbdestsearch,,N/A,"9200 White Lane, Bakersfield, CA, USA 9200 White Lane Bakersfield, CA 93311",N/A,N/A,N/A,N/A,N/A
Houchin Blood Bank Tour-Heartland Charter School,https://www.eventbrite.com/e/houchin-blood-bank-tour-heartland-charter-school-tickets-704882050187?aff=ebdssbdestsearch,,"Mon, Nov 6 •  8:45 AM ","Houchin Community Blood Bank 11515 Bolthouse Drive Bakersfield, CA 93311",Heartland Charter School,https://heartlandcharterschool.com/,N/A,N/A,N/A
Houchin Blood Bank Tour-Heartland Charter School,https://www.eventbrite.com/e/houchin-blood-bank-tour-heartland-charter-school-tickets-704882050187?aff=ebdssbdestsearch,,N/A,"Houchin Community Blood Bank 11515 Bolthouse Drive Bakersfield, CA 93311",Heartland Charter School,https://heartlandcharterschool.com/,N/A,N/A,N/A
Guitar Meet Up & Jam-Heartland Charter School,https://www.eventbrite.com/e/guitar-meet-up-jam-heartland-charter-school-tickets-724035809597?aff=ebdssbdestsearch,,"Fri, Oct 20 •  2:00 PM ","North Rosedale Park 3635 Jewetta Avenue Bakersfield, CA 93312",Heartland Charter School,https://heartlandcharterschool.com/,N/A,N/A,N/A
Guitar Meet Up & Jam-Heartland Charter School,https://www.eventbrite.com/e/guitar-meet-up-jam-heartland-charter-school-tickets-724035809597?aff=ebdssbdestsearch,,N/A,"North Rosedale Park 3635 Jewetta Avenue Bakersfield, CA 93312",Heartland Charter School,https://heartlandcharterschool.com/,N/A,N/A,N/A
World Ballet Series: Cinderella-Heartland Charter School,https://www.eventbrite.com/e/world-ballet-series-cinderella-heartland-charter-school-tickets-728326432967?aff=ebdssbdestsearch,,"Fri, Nov 3 •  7:00 PM ","The Historic Bakersfield Fox Theater 2001 H Street Bakersfield, CA 93301",Heartland Charter School,https://heartlandcharterschool.com/,N/A,N/A,N/A
World Ballet Series: Cinderella-Heartland Charter School,https://www.eventbrite.com/e/world-ballet-series-cinderella-heartland-charter-school-tickets-728326432967?aff=ebdssbdestsearch,,N/A,"The Historic Bakersfield Fox Theater 2001 H Street Bakersfield, CA 93301",Heartland Charter School,https://heartlandcharterschool.com/,N/A,N/A,N/A
E&M Reptile- Heartland Charter School,https://www.eventbrite.com/e/em-reptile-heartland-charter-school-tickets-716026854597?aff=ebdssbdestsearch,,"Thu, Feb 22 •  1:00 PM ","Crossover Church of Rosedale 18210 Rosedale Highway Bakersfield, CA 93314",Heartland Charter School,https://heartlandcharterschool.com/,N/A,N/A,N/A
E&M Reptile- Heartland Charter School,https://www.eventbrite.com/e/em-reptile-heartland-charter-school-tickets-716026854597?aff=ebdssbdestsearch,,N/A,"Crossover Church of Rosedale 18210 Rosedale Highway Bakersfield, CA 93314",Heartland Charter School,https://heartlandcharterschool.com/,N/A,N/A,N/A
Step Outside Library Park Days-Heartland Charter School,https://www.eventbrite.com/e/step-outside-library-park-days-heartland-charter-school-tickets-723589915917?aff=ebdssbdestsearch,,"Fri, Oct 27 •  11:00 AM ","Liberty Park Jewetta Avenue Bakersfield, CA 93312",Heartland Charter School,https://heartlandcharterschool.com/,N/A,N/A,N/A
Step Outside Library Park Days-Heartland Charter School,https://www.eventbrite.com/e/step-outside-library-park-days-heartland-charter-school-tickets-723589915917?aff=ebdssbdestsearch,,N/A,"Liberty Park Jewetta Avenue Bakersfield, CA 93312",Heartland Charter School,https://heartlandcharterschool.com/,N/A,N/A,N/A
JLB Oktoberfest 2023 - Brews for Books!,https://www.eventbrite.com/e/jlb-oktoberfest-2023-brews-for-books-tickets-663342925547?aff=ebdssbdestsearch,,"Sat, Oct 21 •  5:30 PM ","Junior League of Bakersfield Community Center 1928 19th Street Bakersfield, CA 93301",The Junior League of Bakersfield,N/A,N/A,N/A,N/A
JLB Oktoberfest 2023 - Brews for Books!,https://www.eventbrite.com/e/jlb-oktoberfest-2023-brews-for-books-tickets-663342925547?aff=ebdssbdestsearch,,N/A,"Junior League of Bakersfield Community Center 1928 19th Street Bakersfield, CA 93301",The Junior League of Bakersfield,N/A,N/A,N/A,N/A
Bakersfield Active Transportation Summit and Festival,https://www.eventbrite.com/e/bakersfield-active-transportation-summit-and-festival-tickets-709727994537?aff=ebdssbdestsearch,,"Sat, Oct 21 •  12:00 PM ","Bakersfield Community House 2020 R Street Bakersfield, CA 93301",Bakersfield City,N/A,N/A,N/A,N/A
Bakersfield Active Transportation Summit and Festival,https://www.eventbrite.com/e/bakersfield-active-transportation-summit-and-festival-tickets-709727994537?aff=ebdssbdestsearch,,N/A,"Bakersfield Community House 2020 R Street Bakersfield, CA 93301",Bakersfield City,N/A,N/A,N/A,N/A
