Title,Link,Price,Date Time,Location,Organiser,Website Link,Facebook Link,Twitter Link,Instagram Link
Roam Fest Sedona | A Women + Femme MTB Festival,https://www.eventbrite.com/e/roam-fest-sedona-a-women-femme-mtb-festival-tickets-558790245667?aff=ebdssbdestsearch,,"Fri, Nov 3 •  8:00 AM ","Red Agave Resort 120 Canyon Cir Dr Sedona, AZ 86351",ROAM EVENTS,N/A,https://www.facebook.com/thisisroam,N/A,N/A
Roam Fest Sedona | A Women + Femme MTB Festival,https://www.eventbrite.com/e/roam-fest-sedona-a-women-femme-mtb-festival-tickets-558790245667?aff=ebdssbdestsearch,,N/A,"Red Agave Resort 120 Canyon Cir Dr Sedona, AZ 86351",ROAM EVENTS,N/A,https://www.facebook.com/thisisroam,N/A,N/A
"Red Rocks Oktoberfest - Craft beer tasting, food trucks, live music and fun",https://www.eventbrite.com/e/red-rocks-oktoberfest-craft-beer-tasting-food-trucks-live-music-and-fun-tickets-682746742887?aff=ebdssbdestsearch,,Saturday • 3:00 PM,"Posse Grounds Park 525 Posse Ground Road Sedona, AZ 86336",Rotary Club of Sedona Red Rocks,http://redrocksoktoberfest.com,https://www.facebook.com/sedonaredrockoktoberfest,N/A,N/A
"Red Rocks Oktoberfest - Craft beer tasting, food trucks, live music and fun",https://www.eventbrite.com/e/red-rocks-oktoberfest-craft-beer-tasting-food-trucks-live-music-and-fun-tickets-682746742887?aff=ebdssbdestsearch,,N/A,"Posse Grounds Park 525 Posse Ground Road Sedona, AZ 86336",Rotary Club of Sedona Red Rocks,http://redrocksoktoberfest.com,https://www.facebook.com/sedonaredrockoktoberfest,N/A,N/A
WALKIN ON MAIN 2023,https://www.eventbrite.com/e/walkin-on-main-2023-tickets-713319898017?aff=ebdssbdestsearch,,"Sat, Nov 11 •  11:00 AM ","Old Town Cottonwood 281 North Main Street Cottonwood, AZ 86326",The Verde Valley Wine Consortium,http://verdevalleywine.org/,https://www.facebook.com/VerdeValleyWineConsortium/,N/A,N/A
WALKIN ON MAIN 2023,https://www.eventbrite.com/e/walkin-on-main-2023-tickets-713319898017?aff=ebdssbdestsearch,,N/A,"Old Town Cottonwood 281 North Main Street Cottonwood, AZ 86326",The Verde Valley Wine Consortium,http://verdevalleywine.org/,https://www.facebook.com/VerdeValleyWineConsortium/,N/A,N/A
3rd Annual Na'Cho Beerfest ... but it can be!,https://www.eventbrite.com/e/3rd-annual-nacho-beerfest-but-it-can-be-tickets-710614476027?aff=ebdssbdestsearch,,"Sat, Nov 4 •  1:00 PM ","THAT Brewery - Cottonwood 300 East Cherry Street Cottonwood, AZ 86326",THAT Brewery - Cottonwood,http://www.thatbrewery.com,N/A,N/A,N/A
3rd Annual Na'Cho Beerfest ... but it can be!,https://www.eventbrite.com/e/3rd-annual-nacho-beerfest-but-it-can-be-tickets-710614476027?aff=ebdssbdestsearch,,N/A,"THAT Brewery - Cottonwood 300 East Cherry Street Cottonwood, AZ 86326",THAT Brewery - Cottonwood,http://www.thatbrewery.com,N/A,N/A,N/A
The Big Sting - It's a Country Thing,https://www.eventbrite.com/e/the-big-sting-its-a-country-thing-tickets-528860575217?aff=ebdssbdestsearch,,Friday • 5:00 PM,"Watson Lake 3101 Watson Lake Rd Prescott, AZ 86301",Shadows Foundation,https://www.shadowsfoundation.org,https://www.facebook.com/shadowsfoundation/,N/A,N/A
The Big Sting - It's a Country Thing,https://www.eventbrite.com/e/the-big-sting-its-a-country-thing-tickets-528860575217?aff=ebdssbdestsearch,,N/A,"Watson Lake 3101 Watson Lake Rd Prescott, AZ 86301",Shadows Foundation,https://www.shadowsfoundation.org,https://www.facebook.com/shadowsfoundation/,N/A,N/A
Fall Harvest Fest,https://www.eventbrite.com/e/fall-harvest-fest-tickets-717090255257?aff=ebdssbdestsearch,,"Wed, Oct 25 •  5:00 PM ","Del Rio Springs Vineyard Tasting Room 220 West Goodwin Street, Suite#4 Prescott, AZ 86303",Del Rio Springs Vineyard,N/A,N/A,N/A,N/A
Fall Harvest Fest,https://www.eventbrite.com/e/fall-harvest-fest-tickets-717090255257?aff=ebdssbdestsearch,,N/A,"Del Rio Springs Vineyard Tasting Room 220 West Goodwin Street, Suite#4 Prescott, AZ 86303",Del Rio Springs Vineyard,N/A,N/A,N/A,N/A
NOCO Harvest Fest — Prescott,https://www.eventbrite.com/e/noco-harvest-fest-prescott-tickets-714158676827?aff=ebdssbdestsearch,,Saturday • 12:00 PM,"The Fair Weather Social Club 222 North Cortez Street Prescott, AZ 86301",NOCO (An Organization Promoting Community on North Cortez St in Prescott),N/A,N/A,N/A,N/A
NOCO Harvest Fest — Prescott,https://www.eventbrite.com/e/noco-harvest-fest-prescott-tickets-714158676827?aff=ebdssbdestsearch,,N/A,"The Fair Weather Social Club 222 North Cortez Street Prescott, AZ 86301",NOCO (An Organization Promoting Community on North Cortez St in Prescott),N/A,N/A,N/A,N/A
13th Annual Holiday Show and Sale - Weavers and Woodturners,https://www.eventbrite.com/e/13th-annual-holiday-show-and-sale-weavers-and-woodturners-tickets-722566675377?aff=ebdssbdestsearch,,"Sat, Nov 11 •  9:00 AM ","824 E Gurley St 824 East Gurley Street Prescott, AZ 86301",Mountain Spinners and Weavers Guild,N/A,N/A,N/A,N/A
13th Annual Holiday Show and Sale - Weavers and Woodturners,https://www.eventbrite.com/e/13th-annual-holiday-show-and-sale-weavers-and-woodturners-tickets-722566675377?aff=ebdssbdestsearch,,N/A,"824 E Gurley St 824 East Gurley Street Prescott, AZ 86301",Mountain Spinners and Weavers Guild,N/A,N/A,N/A,N/A
Whoa Man...an unexpected camping experience,https://www.eventbrite.com/e/whoa-manan-unexpected-camping-experience-tickets-149162433855?aff=ebdssbdestsearch,,"Fri, Apr 26 •  5:00 PM ","Private land , on the edge of Prescott AZ 123 tba st (private property) Prescott, AZ 86301",Atomic Logic Audio,http://AtomicLogicAudio.com,https://www.facebook.com/AtomicLogicAudio,https://www.twitter.com/Atomic_Logic,N/A
Whoa Man...an unexpected camping experience,https://www.eventbrite.com/e/whoa-manan-unexpected-camping-experience-tickets-149162433855?aff=ebdssbdestsearch,,N/A,"Private land , on the edge of Prescott AZ 123 tba st (private property) Prescott, AZ 86301",Atomic Logic Audio,http://AtomicLogicAudio.com,https://www.facebook.com/AtomicLogicAudio,https://www.twitter.com/Atomic_Logic,N/A
Taste of Cave Creek,https://www.eventbrite.com/e/taste-of-cave-creek-tickets-704947475877?aff=ebdssbdestsearch,,"Wed, Oct 18 •  5:00 PM  + 1 more","7100 E Cave Creek Rd 7100 East Cave Creek Road Cave Creek, AZ 85331",Stagecoach Village,https://stagecoachvillagecc.com,https://www.facebook.com/stagecoachvillagecavecreekaz,N/A,N/A
Taste of Cave Creek,https://www.eventbrite.com/e/taste-of-cave-creek-tickets-704947475877?aff=ebdssbdestsearch,,N/A,"7100 E Cave Creek Rd 7100 East Cave Creek Road Cave Creek, AZ 85331",Stagecoach Village,https://stagecoachvillagecc.com,https://www.facebook.com/stagecoachvillagecavecreekaz,N/A,N/A
Cave Creek Fine Art & Wine Festival,https://www.eventbrite.com/e/cave-creek-fine-art-wine-festival-tickets-722287871467?aff=ebdssbdestsearch,,N/A,"Stagecoach Village 7100 E. Cave Creek Rd Cave Creek, AZ 85331",Arizona Wine Events,http://experiencearizonawine.com/,N/A,N/A,N/A
Cave Creek Fine Art & Wine Festival,https://www.eventbrite.com/e/cave-creek-fine-art-wine-festival-tickets-722287871467?aff=ebdssbdestsearch,,N/A,"Stagecoach Village 7100 E. Cave Creek Rd Cave Creek, AZ 85331",Arizona Wine Events,http://experiencearizonawine.com/,N/A,N/A,N/A
"9th Annual AZ Margarita, Mojito, Craft Beer, & Food Truck Festival",https://www.eventbrite.com/e/9th-annual-az-margarita-mojito-craft-beer-food-truck-festival-tickets-680988463827?aff=ebdssbdestsearch,,"Sat, Oct 21 •  2:00 PM ","8708 W Harbor Blvd 8708 West Harbor Boulevard Peoria, AZ 85383",Limelight Entertainment LLC,https://www.limelightentertainment.com/,https://www.facebook.com/LimelightEntertainmentAZ,N/A,N/A
"9th Annual AZ Margarita, Mojito, Craft Beer, & Food Truck Festival",https://www.eventbrite.com/e/9th-annual-az-margarita-mojito-craft-beer-food-truck-festival-tickets-680988463827?aff=ebdssbdestsearch,,N/A,"8708 W Harbor Blvd 8708 West Harbor Boulevard Peoria, AZ 85383",Limelight Entertainment LLC,https://www.limelightentertainment.com/,https://www.facebook.com/LimelightEntertainmentAZ,N/A,N/A
Wickenburg Oktoberfest 2023,https://www.eventbrite.com/e/wickenburg-oktoberfest-2023-tickets-677558625087?aff=ebdssbdestsearch,,Saturday • 3:00 PM,"Stone Park 164 E. Apache St. Wickenburg, AZ 85390",Arizona Craft Brewers Guild,http://ChooseAZBrews.com,https://www.facebook.com/arizonacraftbrewersguild,https://www.twitter.com/AZCraftBrewers,N/A
Wickenburg Oktoberfest 2023,https://www.eventbrite.com/e/wickenburg-oktoberfest-2023-tickets-677558625087?aff=ebdssbdestsearch,,N/A,"Stone Park 164 E. Apache St. Wickenburg, AZ 85390",Arizona Craft Brewers Guild,http://ChooseAZBrews.com,https://www.facebook.com/arizonacraftbrewersguild,https://www.twitter.com/AZCraftBrewers,N/A
2023 FuelFest Scottsdale,https://www.eventbrite.com/e/2023-fuelfest-scottsdale-tickets-471359016507?aff=ebdssbdestsearch,,"Sat, Dec 9 •  1:00 PM ","WestWorld of Scottsdale 16601 North Pima Road Scottsdale, AZ 85260",FuelFest,http://www.fuelfest.com,https://www.facebook.com/fuelfest,https://www.twitter.com/codywalkerroww,N/A
2023 FuelFest Scottsdale,https://www.eventbrite.com/e/2023-fuelfest-scottsdale-tickets-471359016507?aff=ebdssbdestsearch,,N/A,"WestWorld of Scottsdale 16601 North Pima Road Scottsdale, AZ 85260",FuelFest,http://www.fuelfest.com,https://www.facebook.com/fuelfest,https://www.twitter.com/codywalkerroww,N/A
2023 FuelFest Scottsdale Vendors,https://www.eventbrite.com/e/2023-fuelfest-scottsdale-vendors-tickets-498322133917?aff=ebdssbdestsearch,,"Sat, Dec 9 •  1:00 PM ","WestWorld of Scottsdale 16601 North Pima Road Scottsdale, AZ 85260",FuelFest,http://www.fuelfest.com,https://www.facebook.com/fuelfest,https://www.twitter.com/codywalkerroww,N/A
