Title,Link,Price,Date Time,Location,Organiser,Website Link,Facebook Link,Twitter Link,Instagram Link
The Tucson Pancakes & Booze Art Show,https://www.eventbrite.com/e/the-tucson-pancakes-booze-art-show-tickets-595486826127?aff=ebdssbdestsearch,,"Sat, Oct 21 •  8:00 PM ","Whistle Stop Depot 127 West 5th Street Tucson, AZ 85705",The Pancakes & Booze Art Show,N/A,https://www.facebook.com/pancakesandboozeartshow,https://www.twitter.com/pancakesbooze,N/A
The Tucson Pancakes & Booze Art Show,https://www.eventbrite.com/e/the-tucson-pancakes-booze-art-show-tickets-595486826127?aff=ebdssbdestsearch,,N/A,"Whistle Stop Depot 127 West 5th Street Tucson, AZ 85705",The Pancakes & Booze Art Show,N/A,https://www.facebook.com/pancakesandboozeartshow,https://www.twitter.com/pancakesbooze,N/A
23rd  Annual Tucson Women's Day Out Expo,https://www.eventbrite.com/e/23rd-annual-tucson-womens-day-out-expo-tickets-460336357437?aff=ebdssbdestsearch,,"Sat, Oct 21 •  10:00 AM ","Doubletree Hotel at Reid Park 445 South Alvernon Way Tucson, AZ 85711","SEI, Inc.",N/A,https://www.facebook.com/womensdayoutexpo,https://www.twitter.com/womensexpousa,N/A
23rd  Annual Tucson Women's Day Out Expo,https://www.eventbrite.com/e/23rd-annual-tucson-womens-day-out-expo-tickets-460336357437?aff=ebdssbdestsearch,,N/A,"Doubletree Hotel at Reid Park 445 South Alvernon Way Tucson, AZ 85711","SEI, Inc.",N/A,https://www.facebook.com/womensdayoutexpo,https://www.twitter.com/womensexpousa,N/A
Downtown Clifton Hotel's  First Annual Halloween Bar Bazaar,https://www.eventbrite.com/e/downtown-clifton-hotels-first-annual-halloween-bar-bazaar-tickets-727634322847?aff=ebdssbdestsearch,,Saturday • 6:00 PM,"The Downtown Clifton Hotel Tucson 485 South Stone Avenue Tucson, AZ 85701",The Downtown Clifton,N/A,N/A,N/A,N/A
Downtown Clifton Hotel's  First Annual Halloween Bar Bazaar,https://www.eventbrite.com/e/downtown-clifton-hotels-first-annual-halloween-bar-bazaar-tickets-727634322847?aff=ebdssbdestsearch,,N/A,"The Downtown Clifton Hotel Tucson 485 South Stone Avenue Tucson, AZ 85701",The Downtown Clifton,N/A,N/A,N/A,N/A
Trunk or Treat Tucson 2023,https://www.eventbrite.com/e/trunk-or-treat-tucson-2023-tickets-677681432407?aff=ebdssbdestsearch,,"Sat, Oct 28 •  3:00 PM ","Synergy Plaza 2959 N Swan Rd Tucson, AZ 85712",Synergy Plaza Trunk Or Treat,N/A,N/A,N/A,N/A
Trunk or Treat Tucson 2023,https://www.eventbrite.com/e/trunk-or-treat-tucson-2023-tickets-677681432407?aff=ebdssbdestsearch,,N/A,"Synergy Plaza 2959 N Swan Rd Tucson, AZ 85712",Synergy Plaza Trunk Or Treat,N/A,N/A,N/A,N/A
Floating World Festival,https://www.eventbrite.com/e/floating-world-festival-tickets-714976171977?aff=ebdssbdestsearch,,Friday • 4:00 PM,"The Screening Room 127 East Congress Street Tucson, AZ 85701",Horsethief Presents,N/A,N/A,N/A,N/A
Floating World Festival,https://www.eventbrite.com/e/floating-world-festival-tickets-714976171977?aff=ebdssbdestsearch,,N/A,"The Screening Room 127 East Congress Street Tucson, AZ 85701",Horsethief Presents,N/A,N/A,N/A,N/A
Trunk 'n' Treat,https://www.eventbrite.com/e/trunk-n-treat-tickets-718868634437?aff=ebdssbdestsearch,,"Sat, Oct 28 •  5:00 PM ","New Spirit Lutheran Church 8701 East Old Spanish Trail Tucson, AZ 85710",New Spirit Lutheran Church,N/A,N/A,N/A,N/A
Trunk 'n' Treat,https://www.eventbrite.com/e/trunk-n-treat-tickets-718868634437?aff=ebdssbdestsearch,,N/A,"New Spirit Lutheran Church 8701 East Old Spanish Trail Tucson, AZ 85710",New Spirit Lutheran Church,N/A,N/A,N/A,N/A
EMERGE  STUFF THE BUS and FAMILY RESOURCE FAIR,https://www.eventbrite.com/e/emerge-stuff-the-bus-and-family-resource-fair-tickets-727100867267?aff=ebdssbdestsearch,,"Sat, Oct 21 •  9:00 AM ","The Loft Cinema, East Speedway Boulevard, Tucson, AZ, USA 3233 East Speedway Boulevard Back Parking Lot Tucson, AZ 85716",Emerge Center Against Domestic Abuse,N/A,N/A,N/A,N/A
EMERGE  STUFF THE BUS and FAMILY RESOURCE FAIR,https://www.eventbrite.com/e/emerge-stuff-the-bus-and-family-resource-fair-tickets-727100867267?aff=ebdssbdestsearch,,N/A,"The Loft Cinema, East Speedway Boulevard, Tucson, AZ, USA 3233 East Speedway Boulevard Back Parking Lot Tucson, AZ 85716",Emerge Center Against Domestic Abuse,N/A,N/A,N/A,N/A
Fort Lowell Arts & Craft Fair Benefitting PACC,https://www.eventbrite.com/e/fort-lowell-arts-craft-fair-benefitting-pacc-tickets-680295330647?aff=ebdssbdestsearch,,"Sat, Nov 4 •  10:00 AM ","Faith Tabernacle Church 5011 East Fort Lowell Road Tucson, AZ 85712",Deana Mooney,N/A,https://www.facebook.com/groups/466984510536659,N/A,N/A
Fort Lowell Arts & Craft Fair Benefitting PACC,https://www.eventbrite.com/e/fort-lowell-arts-craft-fair-benefitting-pacc-tickets-680295330647?aff=ebdssbdestsearch,,N/A,"Faith Tabernacle Church 5011 East Fort Lowell Road Tucson, AZ 85712",Deana Mooney,N/A,https://www.facebook.com/groups/466984510536659,N/A,N/A
