Title,Link,Price,Date Time,Location,Organiser,Website Link,Facebook Link,Twitter Link,Instagram Link
11th Annual ConnectHER Film Festival,https://www.eventbrite.com/e/11th-annual-connecther-film-festival-tickets-685887848017?aff=ebdssbdestsearch,From $20.0010% off select tickets,"Sat, Nov 11 •  2:00 PM ","St. Andrew's Dell Fine Arts Center 5901 Southwest Parkway Austin, TX 78735",ConnectHER,https://connectherfilmfest.org/,https://www.facebook.com/Connecther,https://www.twitter.com/connecther,N/A
11th Annual ConnectHER Film Festival,https://www.eventbrite.com/e/11th-annual-connecther-film-festival-tickets-685887848017?aff=ebdssbdestsearch,From $20.0010% off select tickets,From $20.00,"St. Andrew's Dell Fine Arts Center 5901 Southwest Parkway Austin, TX 78735",ConnectHER,https://connectherfilmfest.org/,https://www.facebook.com/Connecther,https://www.twitter.com/connecther,N/A
@AllBlackMade: Popup Market,https://www.eventbrite.com/e/allblackmade-popup-market-tickets-730492461617?aff=ebdssbdestsearch,Free,"Sat, Oct 21 •  12:00 PM ","Black Pearl Books, Burnet Road, Austin, TX, USA 7112 Burnet Road Austin, TX 78757",Eva Rovin,N/A,N/A,N/A,N/A
@AllBlackMade: Popup Market,https://www.eventbrite.com/e/allblackmade-popup-market-tickets-730492461617?aff=ebdssbdestsearch,Free,Free,"Black Pearl Books, Burnet Road, Austin, TX, USA 7112 Burnet Road Austin, TX 78757",Eva Rovin,N/A,N/A,N/A,N/A
Annual Montessori Fall Festival,https://www.eventbrite.com/e/annual-montessori-fall-festival-tickets-721589302027?aff=ebdssbdestsearch,,"Sat, Oct 21 •  3:00 PM ","2100 Muirfield Bend Dr 2100 Muirfield Bend Drive Hutto, TX 78634",Montessori Kids Universe Hutto,N/A,N/A,N/A,N/A
Annual Montessori Fall Festival,https://www.eventbrite.com/e/annual-montessori-fall-festival-tickets-721589302027?aff=ebdssbdestsearch,,N/A,"2100 Muirfield Bend Dr 2100 Muirfield Bend Drive Hutto, TX 78634",Montessori Kids Universe Hutto,N/A,N/A,N/A,N/A
Deutschen Pfest 2023,https://www.eventbrite.com/e/deutschen-pfest-2023-tickets-684953403067?aff=ebdssbdestsearch,,"Fri, Oct 20 •  5:00 PM ","Pfluger Park 515 City Park Road Pflugerville, TX 78660",City of Pflugerville: Parks & Recreation,https://parks.pflugervilletx.gov/,N/A,N/A,N/A
Deutschen Pfest 2023,https://www.eventbrite.com/e/deutschen-pfest-2023-tickets-684953403067?aff=ebdssbdestsearch,,N/A,"Pfluger Park 515 City Park Road Pflugerville, TX 78660",City of Pflugerville: Parks & Recreation,https://parks.pflugervilletx.gov/,N/A,N/A,N/A
GABB Sarod Utsav 2023,https://www.eventbrite.com/e/gabb-sarod-utsav-2023-tickets-726224475957?aff=ebdssbdestsearch,,"Sat, Oct 21 •  9:00 AM ","PFC Robert P. Hernandez Middle School 1901 Sunrise Road Round Rock, TX 78664",Greater Austin Bongobasi (GABB),https://www.austinbongobasi.org/,https://www.facebook.com/GABB2018,N/A,N/A
GABB Sarod Utsav 2023,https://www.eventbrite.com/e/gabb-sarod-utsav-2023-tickets-726224475957?aff=ebdssbdestsearch,,N/A,"PFC Robert P. Hernandez Middle School 1901 Sunrise Road Round Rock, TX 78664",Greater Austin Bongobasi (GABB),https://www.austinbongobasi.org/,https://www.facebook.com/GABB2018,N/A,N/A
WineStock,https://www.eventbrite.com/e/winestock-tickets-720654024587?aff=ebdssbdestsearch,,"Fri, Oct 20 •  6:00 PM ","Wine Sensation, North Mays Street, Round Rock, TX, USA 409 North Mays Street Round Rock, TX 78664",Wine Sensation,N/A,N/A,N/A,N/A
WineStock,https://www.eventbrite.com/e/winestock-tickets-720654024587?aff=ebdssbdestsearch,,N/A,"Wine Sensation, North Mays Street, Round Rock, TX, USA 409 North Mays Street Round Rock, TX 78664",Wine Sensation,N/A,N/A,N/A,N/A
Round Rock Diwali Festival - Festival of Lights,https://www.eventbrite.com/e/round-rock-diwali-festival-festival-of-lights-tickets-342396536257?aff=ebdssbdestsearch,,"Sat, Oct 28 •  2:30 PM ","Centennial Plaza 301 West Bagdad Avenue Round Rock, TX 78664",City of Round Rock and Taj Fashion,N/A,https://www.facebook.com/RRdiwaliFest,https://www.twitter.com/RRdiwaliFest,N/A
Round Rock Diwali Festival - Festival of Lights,https://www.eventbrite.com/e/round-rock-diwali-festival-festival-of-lights-tickets-342396536257?aff=ebdssbdestsearch,,N/A,"Centennial Plaza 301 West Bagdad Avenue Round Rock, TX 78664",City of Round Rock and Taj Fashion,N/A,https://www.facebook.com/RRdiwaliFest,https://www.twitter.com/RRdiwaliFest,N/A
Soup And Bakery From Around The World,https://www.eventbrite.com/e/soup-and-bakery-from-around-the-world-tickets-728542619587?aff=ebdssbdestsearch,,"Sat, Nov 18 •  2:30 PM ","Islamic Center of Round Rock 1951 Hampton Ln Round Rock, TX 78664",Islamic Center Of Round Rock,N/A,N/A,N/A,N/A
Soup And Bakery From Around The World,https://www.eventbrite.com/e/soup-and-bakery-from-around-the-world-tickets-728542619587?aff=ebdssbdestsearch,,N/A,"Islamic Center of Round Rock 1951 Hampton Ln Round Rock, TX 78664",Islamic Center Of Round Rock,N/A,N/A,N/A,N/A
Diwali & Garba at The Domain,https://www.eventbrite.com/e/diwali-garba-at-the-domain-tickets-579834509627?aff=ebdssbdestsearch,,Saturday • 12:30 PM,"3225 Amy Donovan Plaza 3225 Amy Donovan Plaza Austin, TX 78758",Livvie Star Company,http://LivvieStar.com,N/A,https://www.twitter.com/LivvieStar,N/A
Diwali & Garba at The Domain,https://www.eventbrite.com/e/diwali-garba-at-the-domain-tickets-579834509627?aff=ebdssbdestsearch,,N/A,"3225 Amy Donovan Plaza 3225 Amy Donovan Plaza Austin, TX 78758",Livvie Star Company,http://LivvieStar.com,N/A,https://www.twitter.com/LivvieStar,N/A
Annual Black Friday Sip-N-Shop,https://www.eventbrite.com/e/annual-black-friday-sip-n-shop-tickets-734232167177?aff=ebdssbdestsearch,,"Fri, Nov 24 •  10:00 AM ","The Sewing Station, West Pecan Street, Pflugerville, TX, USA 401 West Pecan Street #Suite E Pflugerville, TX 78660","The Sewing Station, LLC",https://www.thesewingstation1.com,https://www.facebook.com/TheSewingStation100/,N/A,N/A
Annual Black Friday Sip-N-Shop,https://www.eventbrite.com/e/annual-black-friday-sip-n-shop-tickets-734232167177?aff=ebdssbdestsearch,,N/A,"The Sewing Station, West Pecan Street, Pflugerville, TX, USA 401 West Pecan Street #Suite E Pflugerville, TX 78660","The Sewing Station, LLC",https://www.thesewingstation1.com,https://www.facebook.com/TheSewingStation100/,N/A,N/A
Crowe's Nest Farm Fall Fest - 40th Anniversary Celebration,https://www.eventbrite.com/e/crowes-nest-farm-fall-fest-40th-anniversary-celebration-tickets-713410318467?aff=ebdssbdestsearch,,Saturday • 10:00 AM + 5 more,"Crowe's Nest Farm 10300 Taylor Lane Manor, TX 78653",Farmer Dave Williams,N/A,N/A,N/A,N/A
Crowe's Nest Farm Fall Fest - 40th Anniversary Celebration,https://www.eventbrite.com/e/crowes-nest-farm-fall-fest-40th-anniversary-celebration-tickets-713410318467?aff=ebdssbdestsearch,,N/A,"Crowe's Nest Farm 10300 Taylor Lane Manor, TX 78653",Farmer Dave Williams,N/A,N/A,N/A,N/A
2nd Annual Santa’s Sun Market,https://www.eventbrite.com/e/2nd-annual-santas-sun-market-tickets-681665779697?aff=ebdssbdestsearch,,"Sun, Nov 12 •  12:00 PM ","Wolf Ranch Town Center 1015 West University Avenue Georgetown, TX 78628",Shelbi Chapman,N/A,N/A,N/A,N/A
2nd Annual Santa’s Sun Market,https://www.eventbrite.com/e/2nd-annual-santas-sun-market-tickets-681665779697?aff=ebdssbdestsearch,,N/A,"Wolf Ranch Town Center 1015 West University Avenue Georgetown, TX 78628",Shelbi Chapman,N/A,N/A,N/A,N/A
Filipino Day Market ATX,https://www.eventbrite.com/e/filipino-day-market-atx-tickets-716706015987?aff=ebdssbdestsearch,,"Sun, Oct 22 •  12:00 PM ","Austin Beerworks - Sprinkle Valley 10300 Springdale Road Austin, TX 78754",Filipino Young Professionals of Austin (FYP ATX),N/A,https://www.facebook.com/fypatx,N/A,N/A
Filipino Day Market ATX,https://www.eventbrite.com/e/filipino-day-market-atx-tickets-716706015987?aff=ebdssbdestsearch,,N/A,"Austin Beerworks - Sprinkle Valley 10300 Springdale Road Austin, TX 78754",Filipino Young Professionals of Austin (FYP ATX),N/A,https://www.facebook.com/fypatx,N/A,N/A
