Title,Link,Price,Date Time,Location,Organiser,Website Link,Facebook Link,Twitter Link,Instagram Link
KUSHSTOCK,https://www.eventbrite.com/e/kushstock-tickets-626737357307?aff=ebdssbdestsearch,,"Sat, Oct 28 •  12:00 PM ","Adelanto Stadium and Event Center 12000 Stadium Way Adelanto, CA 92301",DR. K,N/A,N/A,N/A,N/A
KUSHSTOCK,https://www.eventbrite.com/e/kushstock-tickets-626737357307?aff=ebdssbdestsearch,,N/A,"Adelanto Stadium and Event Center 12000 Stadium Way Adelanto, CA 92301",DR. K,N/A,N/A,N/A,N/A
Night Scape,https://www.eventbrite.com/e/night-scape-tickets-630408146737?aff=ebdssbdestsearch,,"Sat, Oct 21 •  2:00 PM ","Stadium Way Stadium Way Adelanto, CA",Majestic Events,https://www.eventbrite.com/e/night-scape-tickets-630408146737?aff=oddtdtcreator,N/A,N/A,N/A
Night Scape,https://www.eventbrite.com/e/night-scape-tickets-630408146737?aff=ebdssbdestsearch,,N/A,"Stadium Way Stadium Way Adelanto, CA",Majestic Events,https://www.eventbrite.com/e/night-scape-tickets-630408146737?aff=oddtdtcreator,N/A,N/A,N/A
Fall Farm Festival Fundraiser,https://www.eventbrite.com/e/fall-farm-festival-fundraiser-tickets-716739917387?aff=ebdssbdestsearch,,"Sun, Oct 15 •  12:00 PM ","8871 Vincent Dr, Hesperia, CA, USA 8871 Vincent Drive Hesperia, CA 92344",Wild Wind Ranch,N/A,N/A,N/A,N/A
Fall Farm Festival Fundraiser,https://www.eventbrite.com/e/fall-farm-festival-fundraiser-tickets-716739917387?aff=ebdssbdestsearch,,N/A,"8871 Vincent Dr, Hesperia, CA, USA 8871 Vincent Drive Hesperia, CA 92344",Wild Wind Ranch,N/A,N/A,N/A,N/A
The 6 Elements Independent Hip-Hop Festival,https://www.eventbrite.com/e/the-6-elements-independent-hip-hop-festival-tickets-707982764507?aff=ebdssbdestsearch,,"Sat, Nov 4 •  11:00 AM ","Adelanto Plaza & Event Center 12000 Stadium Way Adelanto, CA 92301",Averi Davis Blackwell,https://www.iamsellassie.com/,N/A,N/A,N/A
The 6 Elements Independent Hip-Hop Festival,https://www.eventbrite.com/e/the-6-elements-independent-hip-hop-festival-tickets-707982764507?aff=ebdssbdestsearch,,N/A,"Adelanto Plaza & Event Center 12000 Stadium Way Adelanto, CA 92301",Averi Davis Blackwell,https://www.iamsellassie.com/,N/A,N/A,N/A
Community Activity Day In The High Desert,https://www.eventbrite.com/e/community-activity-day-in-the-high-desert-tickets-721568078547?aff=ebdssbdestsearch,,"Sat, Oct 14 •  11:00 AM ","Apple Valley Inn 20601 California 18 Apple Valley, CA 92307",The Way Of The Cross Church,N/A,N/A,N/A,N/A
Community Activity Day In The High Desert,https://www.eventbrite.com/e/community-activity-day-in-the-high-desert-tickets-721568078547?aff=ebdssbdestsearch,,N/A,"Apple Valley Inn 20601 California 18 Apple Valley, CA 92307",The Way Of The Cross Church,N/A,N/A,N/A,N/A
