Title,Link,Price,Date Time,Location,Organiser,Website Link,Facebook Link,Twitter Link,Instagram Link
Brews on the Bay 2023 - Sip craft beer overlooking SF Bay atop WWII Ship!,https://www.eventbrite.com/e/brews-on-the-bay-2023-sip-craft-beer-overlooking-sf-bay-atop-wwii-ship-tickets-691808717497?aff=ebdssbdestsearch,From $55.00,"Sat, Oct 14 •  1:30 PM ","SS Jeremiah O'Brien Pier 35 San Francisco, CA 94133",Bay Area Brewers Guild,http://drinkbay.beer,https://www.facebook.com/drinkbaybeer,https://www.twitter.com/drinkbaybeer,N/A
Brews on the Bay 2023 - Sip craft beer overlooking SF Bay atop WWII Ship!,https://www.eventbrite.com/e/brews-on-the-bay-2023-sip-craft-beer-overlooking-sf-bay-atop-wwii-ship-tickets-691808717497?aff=ebdssbdestsearch,From $55.00,From $55.00,"SS Jeremiah O'Brien Pier 35 San Francisco, CA 94133",Bay Area Brewers Guild,http://drinkbay.beer,https://www.facebook.com/drinkbaybeer,https://www.twitter.com/drinkbaybeer,N/A
Bride & Groom Fair,https://www.eventbrite.com/e/bride-groom-fair-tickets-691238100767?aff=ebdssbdestsearch,From $5.0050% off select tickets,Sunday • 11:00 AM,"Elks Lodge 1312 Mission Avenue San Rafael, CA 94901",San Rafael Maple Lawn Estate,N/A,N/A,N/A,N/A
Bride & Groom Fair,https://www.eventbrite.com/e/bride-groom-fair-tickets-691238100767?aff=ebdssbdestsearch,From $5.0050% off select tickets,From $5.00,"Elks Lodge 1312 Mission Avenue San Rafael, CA 94901",San Rafael Maple Lawn Estate,N/A,N/A,N/A,N/A
How Weird Street Faire 2023,https://www.eventbrite.com/e/how-weird-street-faire-2023-tickets-665483287427?aff=ebdssbdestsearch,,"Sat, Oct 14 •  12:00 PM ","Howard Street & 2nd Street 222 Second St. San Francisco, CA 94105",How Weird Street Faire,https://HowWeird.org,https://www.facebook.com/HowWeirdStreetFaire,https://www.twitter.com/@HowWeirdSF,N/A
How Weird Street Faire 2023,https://www.eventbrite.com/e/how-weird-street-faire-2023-tickets-665483287427?aff=ebdssbdestsearch,,N/A,"Howard Street & 2nd Street 222 Second St. San Francisco, CA 94105",How Weird Street Faire,https://HowWeird.org,https://www.facebook.com/HowWeirdStreetFaire,https://www.twitter.com/@HowWeirdSF,N/A
Career Fair: Exclusive Tech Hiring Event,https://www.eventbrite.com/e/career-fair-exclusive-tech-hiring-event-tickets-63168789550?aff=ebdssbdestsearch,,"Fri, Oct 27 •  9:00 AM ","Moved to Virtual Event Online San Francisco, CA 94013",Tech Career Fair,N/A,N/A,N/A,N/A
Career Fair: Exclusive Tech Hiring Event,https://www.eventbrite.com/e/career-fair-exclusive-tech-hiring-event-tickets-63168789550?aff=ebdssbdestsearch,,N/A,"Moved to Virtual Event Online San Francisco, CA 94013",Tech Career Fair,N/A,N/A,N/A,N/A
Trumer Oktoberfest,https://www.eventbrite.com/e/trumer-oktoberfest-tickets-715608051947?aff=ebdssbdestsearch,,Saturday • 12:00 PM,"Trumer Brauerei, Fourth Street, Berkeley, CA, USA 1404 Fourth Street Berkeley, CA 94710",Trumer Brewery,N/A,N/A,N/A,N/A
Trumer Oktoberfest,https://www.eventbrite.com/e/trumer-oktoberfest-tickets-715608051947?aff=ebdssbdestsearch,,N/A,"Trumer Brauerei, Fourth Street, Berkeley, CA, USA 1404 Fourth Street Berkeley, CA 94710",Trumer Brewery,N/A,N/A,N/A,N/A
