Title,Link,Price,Date Time,Location,Organiser,Website Link,Facebook Link,Twitter Link,Instagram Link
90S MEETS Y2K ARTS FESTIVAL,https://www.eventbrite.com/e/90s-meets-y2k-arts-festival-tickets-670165883197?aff=ebdssbdestsearch,,Tomorrow • 7:00 PM,"1611 S Hope St 1611 South Hope Street Los Angeles, CA 90015",Artfonfa (artfonfa),Http://www.ArtFonfa.com,https://www.facebook.com/artfonfa,https://www.twitter.com/Artfonfa,N/A
90S MEETS Y2K ARTS FESTIVAL,https://www.eventbrite.com/e/90s-meets-y2k-arts-festival-tickets-670165883197?aff=ebdssbdestsearch,,N/A,"1611 S Hope St 1611 South Hope Street Los Angeles, CA 90015",Artfonfa (artfonfa),Http://www.ArtFonfa.com,https://www.facebook.com/artfonfa,https://www.twitter.com/Artfonfa,N/A
Chicano Comedy Fest,https://www.eventbrite.com/e/chicano-comedy-fest-tickets-390887724707?aff=ebdssbdestsearch,,"Sat, Oct 14 •  7:00 PM ","Pico Rivera Sports Arena 11003 Sports Arena Drive Pico Rivera, CA 90601",Ave 26,https://www.ave26nightmarket.com/,N/A,N/A,N/A
Chicano Comedy Fest,https://www.eventbrite.com/e/chicano-comedy-fest-tickets-390887724707?aff=ebdssbdestsearch,,N/A,"Pico Rivera Sports Arena 11003 Sports Arena Drive Pico Rivera, CA 90601",Ave 26,https://www.ave26nightmarket.com/,N/A,N/A,N/A
Fright Carnival in Downtown Downey,https://www.eventbrite.com/e/fright-carnival-in-downtown-downey-tickets-668424685227?aff=ebdssbdestsearch,,"Sat, Oct 21 •  5:00 PM ","Downtown Downey 11024 Downey Avenue Downey, CA 90241",Downtown Downey Improvement Association,https://downtowndowney.org,https://www.facebook.com/TheDowntownDowney,N/A,N/A
Fright Carnival in Downtown Downey,https://www.eventbrite.com/e/fright-carnival-in-downtown-downey-tickets-668424685227?aff=ebdssbdestsearch,,N/A,"Downtown Downey 11024 Downey Avenue Downey, CA 90241",Downtown Downey Improvement Association,https://downtowndowney.org,https://www.facebook.com/TheDowntownDowney,N/A,N/A
DAYBREAKER LA // 10-YEAR TOGETHER TOUR OCT 7TH,https://www.eventbrite.com/e/daybreaker-la-10-year-together-tour-oct-7th-tickets-699592067707?aff=ebdssbdestsearch,,"Sat, Oct 7 •  9:00 AM ","Sound Nightclub 1642 N Las Palmas Ave Los Angeles, CA 90028",DAYBREAKER,N/A,N/A,N/A,N/A
DAYBREAKER LA // 10-YEAR TOGETHER TOUR OCT 7TH,https://www.eventbrite.com/e/daybreaker-la-10-year-together-tour-oct-7th-tickets-699592067707?aff=ebdssbdestsearch,,N/A,"Sound Nightclub 1642 N Las Palmas Ave Los Angeles, CA 90028",DAYBREAKER,N/A,N/A,N/A,N/A
Taste of Pasadena,https://www.eventbrite.com/e/taste-of-pasadena-tickets-708320765477?aff=ebdssbdestsearch,,"Fri, Oct 6 •  7:00 PM ","Pasadena Convention Center 300 East Green Street Pasadena, CA 91101",Los Angeles magazine,http://lamag.com,https://www.facebook.com/LosAngelesmag,https://www.twitter.com/lamag,N/A
Taste of Pasadena,https://www.eventbrite.com/e/taste-of-pasadena-tickets-708320765477?aff=ebdssbdestsearch,,N/A,"Pasadena Convention Center 300 East Green Street Pasadena, CA 91101",Los Angeles magazine,http://lamag.com,https://www.facebook.com/LosAngelesmag,https://www.twitter.com/lamag,N/A
