Title,Link,Price,Date Time,Location,Organiser,Website Link,Facebook Link,Twitter Link,Instagram Link
Splitrock Festival - Music and Wellness Campout,https://www.eventbrite.com/e/splitrock-festival-music-and-wellness-campout-registration-647280041027?aff=ebdssbdestsearch,From $66.00,"Fri, Oct 20 •  2:00 PM ","Splitrock Farm and Retreat 39032 Harris Trail Fallbrook, CA 92028",Splitrock Farm and Retreat,N/A,https://www.facebook.com/100095384824346,N/A,N/A
Splitrock Festival - Music and Wellness Campout,https://www.eventbrite.com/e/splitrock-festival-music-and-wellness-campout-registration-647280041027?aff=ebdssbdestsearch,From $66.00,From $66.00,"Splitrock Farm and Retreat 39032 Harris Trail Fallbrook, CA 92028",Splitrock Farm and Retreat,N/A,https://www.facebook.com/100095384824346,N/A,N/A
50th Los Angeles Korean Festival,https://www.eventbrite.com/e/50th-los-angeles-korean-festival-tickets-706200202817?aff=ebdssbdestsearch,Free,"Thu, Oct 12 •  10:00 AM ","Seoul International Park 3250 San Marino Street Los Angeles, CA 90006",Los Angeles Korean Festival Foundation,http://www.lakoreanfestival.org,https://www.facebook.com/LosAngelesKoreanFestival,N/A,N/A
50th Los Angeles Korean Festival,https://www.eventbrite.com/e/50th-los-angeles-korean-festival-tickets-706200202817?aff=ebdssbdestsearch,Free,Free,"Seoul International Park 3250 San Marino Street Los Angeles, CA 90006",Los Angeles Korean Festival Foundation,http://www.lakoreanfestival.org,https://www.facebook.com/LosAngelesKoreanFestival,N/A,N/A
Orange County Wine Fest - November 11 & 12,https://www.eventbrite.com/e/orange-county-wine-fest-november-11-12-tickets-640697883617?aff=ebdssbdestsearch,,N/A,"The Hangar at OC Fair & Event Center 88 Fair Drive Costa Mesa, CA 92626",Orange County Wine Fest,http://www.orangecountywinefest.com,https://www.facebook.com/silverinceproductions,N/A,N/A
Orange County Wine Fest - November 11 & 12,https://www.eventbrite.com/e/orange-county-wine-fest-november-11-12-tickets-640697883617?aff=ebdssbdestsearch,,N/A,"The Hangar at OC Fair & Event Center 88 Fair Drive Costa Mesa, CA 92626",Orange County Wine Fest,http://www.orangecountywinefest.com,https://www.facebook.com/silverinceproductions,N/A,N/A
2023 California Wine Festival  - Huntington Beach - November 10-11,https://www.eventbrite.com/e/2023-california-wine-festival-huntington-beach-november-10-11-tickets-513451496247?aff=ebdssbdestsearch,,N/A,"Paséa Hotel & Spa 21080 California 1 Huntington Beach, CA 92648",California Wine Festival,https://www.californiawinefestival.com/,https://www.facebook.com/calwinefest,https://www.twitter.com/calwinefest,N/A
2023 California Wine Festival  - Huntington Beach - November 10-11,https://www.eventbrite.com/e/2023-california-wine-festival-huntington-beach-november-10-11-tickets-513451496247?aff=ebdssbdestsearch,,N/A,"Paséa Hotel & Spa 21080 California 1 Huntington Beach, CA 92648",California Wine Festival,https://www.californiawinefestival.com/,https://www.facebook.com/calwinefest,https://www.twitter.com/calwinefest,N/A
OC Japan Fair 2023,https://www.eventbrite.com/e/oc-japan-fair-2023-tickets-696527030097?aff=ebdssbdestsearch,,"Fri, Oct 27 •  5:00 PM ","OC Fair & Event Center 88 Fair Drive Costa Mesa, CA 92626",Japan Product Promotion,N/A,https://www.facebook.com/rjmusicfest,N/A,N/A
OC Japan Fair 2023,https://www.eventbrite.com/e/oc-japan-fair-2023-tickets-696527030097?aff=ebdssbdestsearch,,N/A,"OC Fair & Event Center 88 Fair Drive Costa Mesa, CA 92626",Japan Product Promotion,N/A,https://www.facebook.com/rjmusicfest,N/A,N/A
2023 Rancho Family Fest,https://www.eventbrite.com/e/2023-rancho-family-fest-tickets-655550307617?aff=ebdssbdestsearch,,N/A,"Central Park 30842 La Miranda Rancho Santa Margarita, CA 92688",RSM Chamber of Commerce,N/A,https://www.facebook.com/RanchoFamilyFest2018,N/A,N/A
2023 Rancho Family Fest,https://www.eventbrite.com/e/2023-rancho-family-fest-tickets-655550307617?aff=ebdssbdestsearch,,N/A,"Central Park 30842 La Miranda Rancho Santa Margarita, CA 92688",RSM Chamber of Commerce,N/A,https://www.facebook.com/RanchoFamilyFest2018,N/A,N/A
SoCal Etsy Guild Pop Up Mission Viejo,https://www.eventbrite.com/e/socal-etsy-guild-pop-up-mission-viejo-tickets-35761669115?aff=ebdssbdestsearch,,Friday • 11:00 AM + 20 more,"The Shops at Mission Viejo 555 The Shops at Mission Viejo Mission Viejo, CA 92691",SoCal Etsy Guild,http://socaletsyguild.com,https://www.facebook.com/socaletsyguild,https://www.twitter.com/socaletsyguild,N/A
SoCal Etsy Guild Pop Up Mission Viejo,https://www.eventbrite.com/e/socal-etsy-guild-pop-up-mission-viejo-tickets-35761669115?aff=ebdssbdestsearch,,N/A,"The Shops at Mission Viejo 555 The Shops at Mission Viejo Mission Viejo, CA 92691",SoCal Etsy Guild,http://socaletsyguild.com,https://www.facebook.com/socaletsyguild,https://www.twitter.com/socaletsyguild,N/A
