State,County,City,Title,Link,Price,Date Time,Location,Organiser,Website Link,Facebook Link,Twitter Link,Instagram Link
Arizona,Yavapai,Sedona,Roam Fest Sedona | A Women + Femme MTB Festival,https://www.eventbrite.com/e/roam-fest-sedona-a-women-femme-mtb-festival-tickets-558790245667?aff=ebdssbdestsearch,,"Fri, Nov 3 •  8:00 AM ","Red Agave Resort 120 Canyon Cir Dr Sedona, AZ 86351",ROAM EVENTS,,https://www.facebook.com/thisisroam,,
Arizona,Yavapai,Cottonwood,WALKIN ON MAIN 2023,https://www.eventbrite.com/e/walkin-on-main-2023-tickets-713319898017?aff=ebdssbdestsearch,,"Sat, Nov 11 •  11:00 AM ","Old Town Cottonwood 281 North Main Street Cottonwood, AZ 86326",The Verde Valley Wine Consortium,http://verdevalleywine.org/,https://www.facebook.com/VerdeValleyWineConsortium/,,
Arizona,Yavapai,Cottonwood,3rd Annual Na'Cho Beerfest ... but it can be!,https://www.eventbrite.com/e/3rd-annual-nacho-beerfest-but-it-can-be-tickets-710614476027?aff=ebdssbdestsearch,,"Sat, Nov 4 •  1:00 PM ","THAT Brewery - Cottonwood 300 East Cherry Street Cottonwood, AZ 86326",THAT Brewery - Cottonwood,http://www.thatbrewery.com,,,
Arizona,Yavapai,Sedona,"Red Rocks Oktoberfest - Craft beer tasting, food trucks, live music and fun",https://www.eventbrite.com/e/red-rocks-oktoberfest-craft-beer-tasting-food-trucks-live-music-and-fun-tickets-682746742887?aff=ebdssbdestsearch,,Saturday • 3:00 PM,"Posse Grounds Park 525 Posse Ground Road Sedona, AZ 86336",Rotary Club of Sedona Red Rocks,http://redrocksoktoberfest.com,https://www.facebook.com/sedonaredrockoktoberfest,,
Arizona,Yavapai,Prescott,The Big Sting - It's a Country Thing,https://www.eventbrite.com/e/the-big-sting-its-a-country-thing-tickets-528860575217?aff=ebdssbdestsearch,,Friday • 5:00 PM,"Watson Lake 3101 Watson Lake Rd Prescott, AZ 86301",Shadows Foundation,https://www.shadowsfoundation.org,https://www.facebook.com/shadowsfoundation/,,
Arizona,Yavapai,Prescott,Fall Harvest Fest,https://www.eventbrite.com/e/fall-harvest-fest-tickets-717090255257?aff=ebdssbdestsearch,,"Wed, Oct 25 •  5:00 PM ","Del Rio Springs Vineyard Tasting Room 220 West Goodwin Street, Suite#4 Prescott, AZ 86303",Del Rio Springs Vineyard,,,,
Arizona,Yavapai,Prescott,NOCO Harvest Fest — Prescott,https://www.eventbrite.com/e/noco-harvest-fest-prescott-tickets-714158676827?aff=ebdssbdestsearch,,Saturday • 12:00 PM,"The Fair Weather Social Club 222 North Cortez Street Prescott, AZ 86301",NOCO (An Organization Promoting Community on North Cortez St in Prescott),,,,
Arizona,Yavapai,Prescott,13th Annual Holiday Show and Sale - Weavers and Woodturners,https://www.eventbrite.com/e/13th-annual-holiday-show-and-sale-weavers-and-woodturners-tickets-722566675377?aff=ebdssbdestsearch,,"Sat, Nov 11 •  9:00 AM ","824 E Gurley St 824 East Gurley Street Prescott, AZ 86301",Mountain Spinners and Weavers Guild,,,,
Arizona,Yavapai,Prescott,Whoa Man...an unexpected camping experience,https://www.eventbrite.com/e/whoa-manan-unexpected-camping-experience-tickets-149162433855?aff=ebdssbdestsearch,,"Fri, Apr 26 •  5:00 PM ","Private land , on the edge of Prescott AZ 123 tba st (private property) Prescott, AZ 86301",Atomic Logic Audio,http://AtomicLogicAudio.com,https://www.facebook.com/AtomicLogicAudio,https://www.twitter.com/Atomic_Logic,
Arizona,Maricopa,Cave Creek,Cave Creek Fine Art & Wine Festival,https://www.eventbrite.com/e/cave-creek-fine-art-wine-festival-tickets-722287871467?aff=ebdssbdestsearch,,,"Stagecoach Village 7100 E. Cave Creek Rd Cave Creek, AZ 85331",Arizona Wine Events,http://experiencearizonawine.com/,,,
