State,County,City,Title,Link,Price,Date Time,Location,Organiser,Website Link,Facebook Link,Twitter Link,Instagram Link
California,Los Angeles,Granada Hills,Harvest Your Health Community Health Fair,https://www.eventbrite.com/e/harvest-your-health-community-health-fair-tickets-706319359217?aff=ebdssbdestsearch,Free,Free,"Knollwood Country Club 12040 Balboa Boulevard Los Angeles, CA 91344",HealthyWay,,https://www.facebook.com/regalmed,,
California,Los Angeles,Los Angeles,Black Women In Comedy Festival,https://www.eventbrite.com/e/black-women-in-comedy-festival-tickets-503071158377?aff=ebdssbdestsearch,From $30.00,Saturday • 8:00 AM,"660 N Heliotrope Dr  Los Angeles, CA 90004 660 n heliotrope dr. Los Angeles, CA 90004",A Soul Sista Productions,,https://www.facebook.com/Soulsistacomedy,https://www.twitter.com/Soulsistacomedy,
California,Los Angeles,Los Angeles,Superfine Art Fair | LA 2023,https://www.eventbrite.com/e/superfine-art-fair-la-2023-tickets-704911448117?aff=ebdssbdestsearch,,Today • 6:00 PM,"Magic Box LA 1933 S Broadway St Los Angeles, CA 90007",Superfine! Art Fair,,https://www.facebook.com/superfinefair,https://www.twitter.com/superfine_fair,
California,Los Angeles,Universal City,Sushi & Sake Festival 2023,https://www.eventbrite.com/e/sushi-sake-festival-2023-tickets-718670140737?aff=ebdssbdestsearch,,"Sun, Oct 29 •  11:00 AM ","Hilton Los Angeles/Universal City, Universal Hollywood Drive, ユニバーサル・シティ カリフォルニア州 アメリカ合衆国 555 Universal Hollywood Drive Universal City, CA 91608",Japanese Restaurant Association of America,http://www.jraamerica.org/ja/,https://www.facebook.com/100065038832319,,
California,Los Angeles,Los Angeles,FLAMINGOFEST 2023 - URL BECOMES IRL,https://www.eventbrite.co.uk/e/flamingofest-2023-url-becomes-irl-tickets-662912909357?aff=ebdssbdestsearch,,"Sat, Nov 4 •  2:00 PM ","Catch One 4067 West Pico Boulevard Los Angeles, CA 90019",My Pet Flamingo & Utopia District,,,,
California,Los Angeles,West Hollywood,LAFW FASHION WEEK RAISED BY WOLVES,https://www.eventbrite.com/e/lafw-fashion-week-raised-by-wolves-tickets-678709035997?aff=ebdssbdestsearch,,Saturday • 2:00 PM,"Skybar Los Angeles 8440 Sunset Boulevard West Hollywood, CA 90069",Joy Bosley,,,,
California,Los Angeles,Los Angeles,The Los Angeles Pancakes & Booze Art Show,https://www.eventbrite.com/e/the-los-angeles-pancakes-booze-art-show-tickets-696561001707?aff=ebdssbdestsearch,,"Sat, Nov 4 •  8:00 PM ","Catch One 4067 W Pico Blvd Los Angeles, CA 90019",The Pancakes & Booze Art Show,,https://www.facebook.com/pancakesandboozeartshow,https://www.twitter.com/pancakesbooze,
California,Los Angeles,Los Angeles,EL VELORIO 13 YEAR ANNIVERSARY,https://www.eventbrite.com/e/el-velorio-13-year-anniversary-tickets-480926593387?aff=ebdssbdestsearch,,Saturday • 7:00 PM,"Plaza De La Raza 3540 North Mission Road Los Angeles, CA 90031",Antonio Pelayo,http://www.antoniopelayoprod.com,https://www.facebook.com/antoniopelayoprod,,
California,Los Angeles,Universal City,Japanese Food Expo in LA 2023,https://www.eventbrite.com/e/japanese-food-expo-in-la-2023-tickets-703729462767?aff=ebdssbdestsearch,,"Sat, Oct 28 •  11:00 AM ","Hilton Los Angeles / Universal City 555 Universal Hollywood Drive Universal City, CA 91608",Japanese Food Culture Association (JFCA),,,,
California,Los Angeles,Pasadena,CraftoberFest Los Angeles,https://www.eventbrite.com/e/craftoberfest-los-angeles-tickets-711657074467?aff=ebdssbdestsearch,,"Sat, Oct 21 •  11:00 AM ","Rose Bowl Stadium 1001 Rose Bowl Drive Pasadena, CA 91103",Rose Bowl Stadium,,https://www.facebook.com/RoseBowlStadium,https://www.twitter.com/RoseBowlStadium,
California,Los Angeles,Los Angeles,"Well:spring - An Autumn Day of Community Rest, Care, and Reflection",https://www.eventbrite.com/e/wellspring-an-autumn-day-of-community-rest-care-and-reflection-registration-677855462937?aff=ebdssbdestsearch,,"Sat, Oct 21 •  1:00 PM ","El Sereno Community Garden 5466 Huntington Drive North Los Angeles, CA 90032",Critical Mass Dance Company,https://www.criticalmassdancecompany.org/,https://www.facebook.com/criticalmassdancecompany,,
California,Los Angeles,Whittier,Chicano Comedy Fest,https://www.eventbrite.com/e/chicano-comedy-fest-tickets-390887724707?aff=ebdssbdestsearch,,Saturday • 7:00 PM,"Pico Rivera Sports Arena 11003 Sports Arena Drive Pico Rivera, CA 90601",Ave 26,https://www.ave26nightmarket.com/,,,
California,Los Angeles,Glendale,Magick Market - Samhain Celebration,https://www.eventbrite.com/e/magick-market-samhain-celebration-tickets-721478811547?aff=ebdssbdestsearch,,"Sat, Oct 21 •  1:00 PM ","UNEARTHED 1728 Victory Boulevard Glendale, CA 91201",Magick Market,,,,
California,Los Angeles,Monrovia,Ohana Halloween Town Event,https://www.eventbrite.com/e/ohana-halloween-town-event-tickets-651227437797?aff=ebdssbdestsearch,,Sunday • 12:00 PM,"DoubleTree by Hilton Hotel Monrovia - Pasadena Area 924 West Huntington Drive Monrovia, CA 91016",Shadows13Bows,,,,
California,Los Angeles,Los Angeles,OH MAN!FEST 2023,https://www.eventbrite.com/e/oh-manfest-2023-tickets-720084691697?aff=ebdssbdestsearch,,Saturday • 10:00 PM,"224 East 11th Street, Los Angeles, CA, USA 224 East 11th Street Los Angeles, CA 90015",Oh Man! Clothing,,,,
California,Los Angeles,Los Angeles,Amazing Grace Conservatory Presents : October Fest,https://www.eventbrite.com/e/amazing-grace-conservatory-presents-october-fest-tickets-729199343867?aff=ebdssbdestsearch,,"Sat, Oct 28 •  8:00 PM ","2401 W Washington Blvd, Los Angeles, CA, USA 2401 West Washington Boulevard Los Angeles, CA 90018",,,,,
California,Los Angeles,Pasadena,"Rose Bowl Flea Market | Sunday, November 12th",https://www.eventbrite.com/e/rose-bowl-flea-market-sunday-november-12th-tickets-685153892737?aff=ebdssbdestsearch,,"Sun, Nov 12 •  5:00 AM ","Rose Bowl Stadium 1001 Rose Bowl Drive Pasadena, CA 91103",R.G. Canning Enterprises,,https://www.facebook.com/rosebowlfleamarket,,
California,Los Angeles,Los Angeles,Luminario Ballet Gala and Performance- ZARATHUSTRA!,https://www.eventbrite.com/e/luminario-ballet-gala-and-performance-zarathustra-tickets-679716579587?aff=ebdssbdestsearch,,"Sun, Oct 22 •  5:30 PM ","Avalon Hollywood 1735 Vine Street Los Angeles, CA 90028",Luminario Ballet,,https://www.facebook.com/Luminario-Ballet-1425555227720793,https://www.twitter.com/luminarioballet,
California,Los Angeles,Los Angeles,Labyrinth Art Show,https://www.eventbrite.com/e/labyrinth-art-show-tickets-49324869011?aff=ebdssbdestsearch,,"Sat, Nov 4 •  5:00 PM ","1125 1125 E Pico Blvd Los Angeles, CA 90021",Labyrinth Art Show,,,,
California,Los Angeles,Burbank,"Fall Festival - A Night in the Park, at Johnny Carson Park, Burbank",https://www.eventbrite.com/e/fall-festival-a-night-in-the-park-at-johnny-carson-park-burbank-tickets-696364915207?aff=ebdssbdestsearch,,"Sat, Nov 18 •  4:00 PM ","Johnny Carson Park 400 Bob Hope Drive Burbank, CA 91505",Valley Cultural Foundation,http://valleycultural.org,https://www.facebook.com/ValleyCultural,https://www.twitter.com/ValleyCulturalf,
California,Los Angeles,Culver City,Flowers and Flowers Fest,https://www.eventbrite.com/e/flowers-and-flowers-fest-tickets-718244638047?aff=ebdssbdestsearch,,Saturday • 2:00 PM,"5856 Adams Blvd 5856 Adams Boulevard Culver City, CA 90232",Plant Bitch LA x Biko Flower,,,,
California,Los Angeles,Los Angeles,"NewFilmmakers Los Angeles (NFMLA) Film Festival - October 21st, 2023",https://www.eventbrite.com/e/newfilmmakers-los-angeles-nfmla-film-festival-october-21st-2023-tickets-707955803867?aff=ebdssbdestsearch,,"Sat, Oct 21 •  3:00 PM ","South Park Center 1139 S Hill Street Los Angeles, CA 90015",NewFilmmakers Los Angeles (NFMLA),http://www.NFMLA.org,https://www.facebook.com/NFMLA,https://www.twitter.com/NFMLA,
California,Los Angeles,Culver City,Culver City Art Walk & Roll Festival,https://www.eventbrite.com/e/culver-city-art-walk-roll-festival-tickets-721319826017?aff=ebdssbdestsearch,,Saturday • 11:00 AM,"Culver City Arts District 3280 Helms Ave Culver City, CA 90232",Culver City Arts District,,,,
California,Los Angeles,Encino,Octoberfest Encino Village Block Party,https://www.eventbrite.com/e/octoberfest-encino-village-block-party-tickets-726476439587?aff=ebdssbdestsearch,,"Sun, Oct 29 •  3:00 PM ","Encino Village Babbitt Ave Los Angeles, CA 91316",,,,,
California,Los Angeles,Arcadia,HARVEST FESTIVAL 2023,https://www.eventbrite.com/e/harvest-festival-2023-tickets-724201465077?aff=ebdssbdestsearch,,"Sat, Oct 21 •  4:00 PM ","121 Alice Street, Arcadia, CA, USA 121 Alice Street Arcadia, CA 91006",Arcadia Community Church,http://www.arcadia.church,,,
California,Los Angeles,Los Angeles,Night of 1000 Drawings L.A,https://www.eventbrite.com/e/night-of-1000-drawings-la-tickets-653214350707?aff=ebdssbdestsearch,,"Sat, Oct 21 •  6:30 PM ","Cooper Design Space 860 South Los Angeles Street Los Angeles, CA 90014",Miyamoto Relief,http://miyamotorelief.org,https://www.facebook.com/1000drawingsDTLA,https://www.twitter.com/@1000drawingsdtla,
California,Los Angeles,Los Angeles,Pickwick Vintage Show at ROW DTLA | November 2023,https://www.eventbrite.com/e/pickwick-vintage-show-at-row-dtla-november-2023-tickets-734409286947?aff=ebdssbdestsearch,,"Sat, Nov 4 •  10:00 AM ","ROW DTLA 777 S Alameda Street Los Angeles, CA 90021",Pickwick Vintage Show,http://pickwickvintage.com,https://www.facebook.com/pickwickvintage,,
California,Los Angeles,Pasadena,"Rose Bowl Flea Market | Sunday, July 9th",https://www.eventbrite.com/e/rose-bowl-flea-market-sunday-july-9th-tickets-672821756987?aff=ebdssbdestsearch,,Tuesday • 7:00 PM,"Rose Bowl Stadium 1001 Rose Bowl Drive Pasadena, CA 91103",The world famous Rose Bowl Flea Market takes place the second Sunday of eve,,,,
California,Los Angeles,Los Angeles,50th Annual Los Angeles Korean Festival,https://www.eventbrite.com/e/50th-annual-los-angeles-korean-festival-tickets-696212328817?aff=ebdssbdestsearch,,Today • 10:00 AM,"Seoul International Park, San Marino Street, Los Angeles, CA, USA 3250 San Marino Street Los Angeles, CA 90006",Los Angeles Korean Festival Foundation,http://www.lakoreanfestival.org,https://www.facebook.com/LosAngelesKoreanFestival,,
California,Los Angeles,Los Angeles,Hollywood Halloween Trick or Treat & Festival!,https://www.eventbrite.com/e/hollywood-halloween-trick-or-treat-festival-tickets-718237155667?aff=ebdssbdestsearch,,"Tue, Oct 31 •  4:00 PM ","4810 Sunset Blvd 4810 Sunset Boulevard Los Angeles, CA 90027",Church of Scientology of Los Angeles,https://www.scientology-losangeles.org,https://www.facebook.com/ScientologyLA,,
California,Los Angeles,Los Angeles,DAYBREAKER LA // 10-YEAR TOGETHER TOUR DEC 2ND,https://www.eventbrite.com/e/daybreaker-la-10-year-together-tour-dec-2nd-tickets-705556878617?aff=ebdssbdestsearch,,"Sat, Dec 2 •  6:00 AM ","Secret Venue . . Los Angeles, CA 90007",DAYBREAKER,,,,
California,Los Angeles,Los Angeles,16th Annual DTLA Halloween Festival for Kids,https://www.eventbrite.com/e/16th-annual-dtla-halloween-festival-for-kids-tickets-717278799197?aff=ebdssbdestsearch,,"Tue, Oct 31 •  5:00 PM ","Grand Hope Park at FIDM 919 South Grand Avenue Los Angeles, CA 90015",Downtown Center Business Improvement District,http://www.downtownla.com,,,
California,Los Angeles,Montebello,Sly Slick and Wicked Suavecito Oktober Festival at QCs,https://www.eventbrite.com/e/sly-slick-and-wicked-suavecito-oktober-festival-at-qcs-tickets-712095886967?aff=ebdssbdestsearch,,"Sun, Oct 22 •  12:00 PM ","Quiet Cannon 901 Via San Clemente Montebello, CA 90640",SKY'S EVENTS AND ENTERTAINMENT,,,,
California,Los Angeles,Maywood,GOTH O' WEEN FEST,https://www.eventbrite.com/e/goth-o-ween-fest-tickets-682249555787?aff=ebdssbdestsearch,,"Fri, Oct 20 •  7:00 PM ","Bricks Restaurant & Sports Bar 3626 Fruitland Avenue Maywood, CA 90270",M81 PRESENTS,,https://www.facebook.com/CLUBFUNCITYLA,,
California,Los Angeles,Los Angeles,In Todo Craft Fair November 2023,https://www.eventbrite.com/e/in-todo-craft-fair-november-2023-tickets-690320736907?aff=ebdssbdestsearch,,"Sat, Nov 4 •  10:00 AM ","FRANKIE Los Angeles 300 South Mission Road Los Angeles, CA 90033",In Todo,https://intodo.us/,,,
California,Los Angeles,Los Angeles,festival for the environment and animals,https://www.eventbrite.com/e/festival-for-the-environment-and-animals-tickets-710958023587?aff=ebdssbdestsearch,,"Sun, Jan 14 •  2:00 PM ","501 East Cesar E Chavez Avenue, Los Angeles, CA, USA 501 East Cesar E Chavez Avenue Los Angeles, CA 90012",Hazell_Anthony,https://www.starwars.com/databank/haja-estree,,,
California,Los Angeles,Pico Rivera,Armenian Cultural Celebration,https://www.eventbrite.com/e/armenian-cultural-celebration-tickets-720183085997?aff=ebdssbdestsearch,,"Fri, Oct 20 •  6:00 PM ","Armenian Mesrobian School 8420 Beverly Road Pico Rivera, CA 90660",Mesrobian PFC,,,,
California,Los Angeles,Los Angeles,Vegandale @ LA State Historic Park,https://www.eventbrite.ca/e/vegandale-la-state-historic-park-tickets-728315289637?aff=ebdssbdestsearch,,"Sat, Oct 28 •  11:00 AM ","Los Angeles State Historic Park 1245 North Spring Street Los Angeles, CA 90012",Vegandale,https://www.vegandalefest.com/,https://www.facebook.com/1594300470828896,,
California,Los Angeles,Los Angeles,"¡Chévere! - A Celebration of Salvadoran Art, Music & Culture",https://www.eventbrite.com/e/chevere-a-celebration-of-salvadoran-art-music-culture-tickets-719010920017?aff=ebdssbdestsearch,,"Sat, Nov 4 •  2:00 PM ","Village At Ed Gould Plaza 1125 North McCadden Place Los Angeles, CA 90038",Salvies Who Lunch,http://www.salvieswholunch.com,https://www.facebook.com/salvieswholunch,https://www.twitter.com/salvieswholunch,
California,Los Angeles,Los Angeles,COMPOSTABLE FARM DAY - hosted by Compostable LA & Opus Events Co,https://www.eventbrite.com/e/compostable-farm-day-hosted-by-compostable-la-opus-events-co-registration-718100998417?aff=ebdssbdestsearch,,"Sat, Nov 4 •  12:00 PM ","Little City Farm 1152 South Victoria Avenue Los Angeles, CA 90019",Compostable,https://www.compostablela.com/,,,
California,Los Angeles,Los Angeles,Dia de los Muertos Street Festival,https://www.eventbrite.com/e/dia-de-los-muertos-street-festival-tickets-722543325537?aff=ebdssbdestsearch,,"Sat, Oct 28 •  12:00 PM ","4810 W Sunset Blvd Los Angeles CA 90027 4810 W. Sunset Blvd Los Angeles, CA 90027",Church of Scientology of Los Angeles,https://www.scientology-losangeles.org,https://www.facebook.com/ScientologyLA,,
California,Los Angeles,Downey,Fright Carnival in Downtown Downey,https://www.eventbrite.com/e/fright-carnival-in-downtown-downey-tickets-668424685227?aff=ebdssbdestsearch,,"Sat, Oct 21 •  5:00 PM ","Downtown Downey 11024 Downey Avenue Downey, CA 90241",Downtown Downey Improvement Association,https://downtowndowney.org,https://www.facebook.com/TheDowntownDowney,,
California,Los Angeles,Los Angeles,50th Los Angeles Korean Festival,https://www.eventbrite.com/e/50th-los-angeles-korean-festival-tickets-706200202817?aff=ebdssbdestsearch,,Today • 10:00 AM,"Seoul International Park 3250 San Marino Street Los Angeles, CA 90006",Los Angeles Korean Festival Foundation,http://www.lakoreanfestival.org,https://www.facebook.com/LosAngelesKoreanFestival,,
California,Los Angeles,Pasadena,Adaptive Sports Festival 2023,https://www.eventbrite.com/e/adaptive-sports-festival-2023-registration-667002661917?aff=ebdssbdestsearch,,"Sat, Nov 4 •  9:00 AM ","Brookside Park 360 N. Arroyo Blvd Pasadena, CA 91103",Triumph Foundation,https://triumph-foundation.org,https://www.facebook.com/TriumphOverSCI,https://www.twitter.com/TriumphOverSCI,
California,Los Angeles,Los Angeles,Trails & Treats: Plant Sale and Giveaway,https://www.eventbrite.com/e/trails-treats-plant-sale-and-giveaway-tickets-699920520117?aff=ebdssbdestsearch,,"Fri, Oct 27 •  9:00 AM ","UCLA La Kretz Garden Pavilion 707 Tiverton Drive Los Angeles, CA 90095",UCLA Mildred E. Mathias Botanical Garden,http://www.botgard.ucla.edu/,https://www.facebook.com/uclabotanical,https://www.twitter.com/uclabotanical,
California,Los Angeles,Los Angeles,Fall Fest at the J Los Angeles,https://www.eventbrite.com/e/fall-fest-at-the-j-los-angeles-tickets-723671098737?aff=ebdssbdestsearch,,"Sun, Oct 22 •  2:30 PM ","J Los Angeles (Formerly Westside JCC), West Olympic Boulevard, Los Angeles, CA, USA 5870 West Olympic Boulevard Los Angeles, CA 90036",,,,,
California,Los Angeles,North Hollywood,Gardner-fest,https://www.eventbrite.com/e/gardner-fest-tickets-733998167277?aff=ebdssbdestsearch,,"Sat, Nov 4 •  7:00 PM ","11178 Burbank Boulevard, North Hollywood, CA, USA 11178 Burbank Boulevard Los Angeles, CA 91601",Chris Gardner,,,,
California,Los Angeles,Los Angeles,Dare to Dance in Public Film Festival: Round 6!,https://www.eventbrite.com/e/dare-to-dance-in-public-film-festival-round-6-tickets-718687753417?aff=ebdssbdestsearch,,"Sat, Oct 21 •  2:00 PM ","Glorya Kaufman Performing Arts Center at Vista Del Mar Child and Family Services 3200 Motor Avenue Los Angeles, CA 90034",Sarah Elgart & Zoe Rappaport,,,,
California,Los Angeles,Los Angeles,A Current Affair: Pop Up Vintage Marketplace in Los Angeles | December 2023,https://www.eventbrite.com/e/a-current-affair-pop-up-vintage-marketplace-in-los-angeles-december-2023-tickets-721254891797?aff=ebdssbdestsearch,,"Sat, Dec 2 •  12:00 PM ","Cooper Design Space 860 South Los Angeles Street Los Angeles, CA 90014",A Current Affair,http://itsacurrentaffair.com,https://www.facebook.com/itsacurrentaffair,,
California,Los Angeles,Los Angeles,9th Annual Say NO Bullying Festival,https://www.eventbrite.com/e/9th-annual-say-no-bullying-festival-tickets-672978184867?aff=ebdssbdestsearch,,Sunday • 1:00 PM,"Griffith Park - Shane's Inspiration Playground 4730 Crystal Springs Drive Los Angeles, CA 90027",Say NO Bullying,,,,
California,Los Angeles,Los Angeles,On Air Open House,https://www.eventbrite.com/e/on-air-open-house-tickets-727641895497?aff=ebdssbdestsearch,,"Sat, Nov 4 •  2:00 PM ","dublab 1035 West 24th Street Los Angeles, CA 90007",On Air Fest,,https://www.facebook.com/events/2301511709944975,https://www.twitter.com/onairfest,
California,Los Angeles,Los Angeles,DIA DE LAS RANFLAS Y  VICLAS,https://www.eventbrite.com/e/dia-de-las-ranflas-y-viclas-tickets-696190302937?aff=ebdssbdestsearch,,"Fri, Nov 17 •  9:00 AM ","South Bay Pop Ups at The LA Auto Show 1201 South Figueroa Street Los Angeles, CA 90015",South Bay Pop-Ups,,,,
California,Los Angeles,Los Angeles,Hollywood Pumpkin Junction,https://www.eventbrite.com/e/hollywood-pumpkin-junction-tickets-730726672147?aff=ebdssbdestsearch,,Today • 12:00 PM + 23 more,"1717 North Bronson Avenue, Los Angeles, CA, USA 1717 North Bronson Avenue Los Angeles, CA 90028",Hollywood Pumpkin Junction,,,,
California,Los Angeles,Pasadena,Artazan - A Contemporary Handcraft Market,https://www.eventbrite.com/e/artazan-a-contemporary-handcraft-market-tickets-665636846727?aff=ebdssbdestsearch,,"Sat, Nov 18 •  10:00 AM ","Pasadena Convention Center 300 East Green Street Pasadena, CA 91101",Garan Beadagio,,https://www.facebook.com/tobeadtrueblue,https://www.twitter.com/tobeadtrueblue,
