State,County,City,Title,Link,Price,Date Time,Location,Organiser,Website Link,Facebook Link,Twitter Link,Instagram Link
Idaho,Kootenai,Coeur D Alene,DOGtober,https://www.eventbrite.com/e/dogtober-tickets-727624393147?aff=ebdssbdestsearch,,Sunday • 12:00 PM,"Coeur d' Alene Cider Company, East Sherman Avenue, Coeur d'Alene, ID, USA 1327 East Sherman Avenue Coeur d'Alene, ID 83814",,,,,
Idaho,Kootenai,Coeur D Alene,Monster Mash NIGHT MARKET & Street Fair,https://www.eventbrite.com/e/monster-mash-night-market-street-fair-tickets-726279931827?aff=ebdssbdestsearch,,Friday • 5:00 PM,"303 E Spokane Ave 303 East Spokane Avenue Coeur d'Alene, ID 83814",THE WAVY BUNCH,,,,
Idaho,Kootenai,Post Falls,Green Farms & Co  Pumpkin Patch,https://www.eventbrite.com/e/green-farms-co-pumpkin-patch-tickets-734258024517?aff=ebdssbdestsearch,,Saturday • 10:00 AM,"9305 N Spokane St, Post Falls, ID, USA 9305 North Spokane Street Post Falls, ID 83854",The Green Family,http://www.greenfarmsco.com,,,
Idaho,Kootenai,Hayden,10th Annual Fall Fest!,https://www.eventbrite.com/e/10th-annual-fall-fest-tickets-730442813117?aff=ebdssbdestsearch,,Saturday • 1:00 PM,"1293 E Whispering Pines Rd 1293 East Whispering Pines Road Hayden, ID 83835",Broker Sinclair Team w/ Keller Williams Realty CdA,,,,
Washington,Spokane,Spokane,Maryam Masjid and Spokane Islamic Center's Fall Harvest,https://www.eventbrite.com/e/maryam-masjid-and-spokane-islamic-centers-fall-harvest-tickets-730962577747?aff=ebdssbdestsearch,,"Sat, Oct 28 •  12:00 PM ","Islamic Center of Spokane 6411 East 2nd Avenue Spokane Valley, WA 99212",,,,,
Washington,Spokane,Spokane,WCR 2nd Annual Carnival,https://www.eventbrite.com/e/wcr-2nd-annual-carnival-tickets-664674016877?aff=ebdssbdestsearch,,"Fri, May 31 •  1:00 PM ","Craft & Gather 4403 South Dishman Mica Road Spokane Valley, WA 99206",Women's Council of REALTORS® Spokane Eastern WA Network,http://www.wcr.org/chapter-sites/washington/spokane-eastern-washington/,https://www.facebook.com/WCRSpokane,,
Washington,Spokane,Spokane,#Mechanics Port Virtual Job Fair / Career Expo Event #Spokane,https://www.eventbrite.com/e/mechanics-port-virtual-job-fair-career-expo-event-spokane-tickets-256978207737?aff=ebdssbdestsearch,,"Fri, Nov 3 •  11:00 AM  + 1 more","Spokane Virtual Event only Spokane, WA 99201",JobsOffice.org,https://JobsOffice.org,,https://www.twitter.com/taohq,
Washington,Spokane,Spokane,#MFGClub Virtual Job Fair / Career Expo Event #Spokane,https://www.eventbrite.com/e/mfgclub-virtual-job-fair-career-expo-event-spokane-tickets-257210733227?aff=ebdssbdestsearch,,"Fri, Nov 3 •  11:00 AM  + 1 more","Spokane Virtual Event only Spokane, WA 99201",JobsOffice.org,https://JobsOffice.org,,https://www.twitter.com/taohq,
Washington,Spokane,Spokane,#SanitationHires Virtual Job Fair / Career Expo Event #Spokane,https://www.eventbrite.com/e/sanitationhires-virtual-job-fair-career-expo-event-spokane-tickets-256140662617?aff=ebdssbdestsearch,,"Fri, Nov 3 •  11:00 AM  + 1 more","Spokane Virtual Event only Spokane, WA 99201",JobsOffice.org,https://JobsOffice.org,,https://www.twitter.com/taohq,
Washington,Spokane,Spokane,#FoodServes Virtual Job Fair / Career Expo Event #Spokane,https://www.eventbrite.com/e/foodserves-virtual-job-fair-career-expo-event-spokane-tickets-256599113857?aff=ebdssbdestsearch,,"Fri, Nov 3 •  11:00 AM  + 1 more","Spokane Virtual Event only Spokane, WA 99201",JobsOffice.org,https://JobsOffice.org,,https://www.twitter.com/taohq,
Washington,Spokane,Spokane,#Auditors and #Advisors Virtual Job Fair / Career Expo Event #Spokane,https://www.eventbrite.com/e/auditors-and-advisors-virtual-job-fair-career-expo-event-spokane-tickets-257710447887?aff=ebdssbdestsearch,,"Fri, Nov 3 •  11:00 AM  + 1 more","Spokane Virtual Event only Spokane, WA 99201",JobsOffice.org,https://JobsOffice.org,,https://www.twitter.com/taohq,
Washington,Spokane,Spokane,#Remote2dot0 Virtual Job Fair / Career Expo Even #Spokane,https://www.eventbrite.com/e/remote2dot0-virtual-job-fair-career-expo-even-spokane-tickets-257640067377?aff=ebdssbdestsearch,,"Fri, Nov 3 •  11:00 PM  + 1 more","Spokane Virtual Event only Spokane, WA 99201",JobsOffice.org,https://JobsOffice.org,,https://www.twitter.com/taohq,
Washington,Spokane,Spokane,#DiversityHire Virtual Job Fair / Career Expo #Diversity Event  #Spokane,https://www.eventbrite.com/e/diversityhire-virtual-job-fair-career-expo-diversity-event-spokane-tickets-129388625863?aff=ebdssbdestsearch,,"Fri, Nov 3 •  11:00 AM  + 14 more","Spokane Virtual Event Only Spokane , WA 99201",JobsOffice.org,https://JobsOffice.org,,https://www.twitter.com/taohq,
