State,County,City,Title,Link,Price,Date Time,Location,Organiser,Website Link,Facebook Link,Twitter Link,Instagram Link
Arizona,Yavapai,Cottonwood,WALKIN ON MAIN 2023,https://www.eventbrite.com/e/walkin-on-main-2023-tickets-713319898017?aff=ebdssbdestsearch,,"Sat, Nov 11 •  11:00 AM ","Old Town Cottonwood 281 North Main Street Cottonwood, AZ 86326",The Verde Valley Wine Consortium,http://verdevalleywine.org/,https://www.facebook.com/VerdeValleyWineConsortium/,,
Arizona,Yavapai,Cottonwood,3rd Annual Na'Cho Beerfest ... but it can be!,https://www.eventbrite.com/e/3rd-annual-nacho-beerfest-but-it-can-be-tickets-710614476027?aff=ebdssbdestsearch,,"Sat, Nov 4 •  1:00 PM ","THAT Brewery - Cottonwood 300 East Cherry Street Cottonwood, AZ 86326",THAT Brewery - Cottonwood,http://www.thatbrewery.com,,,
Arizona,Yavapai,Sedona,Roam Fest Sedona | A Women + Femme MTB Festival,https://www.eventbrite.com/e/roam-fest-sedona-a-women-femme-mtb-festival-tickets-558790245667?aff=ebdssbdestsearch,,"Fri, Nov 3 •  8:00 AM ","Red Agave Resort 120 Canyon Cir Dr Sedona, AZ 86351",ROAM EVENTS,,https://www.facebook.com/thisisroam,,
Arizona,Yavapai,Prescott,The Big Sting - It's a Country Thing,https://www.eventbrite.com/e/the-big-sting-its-a-country-thing-tickets-528860575217?aff=ebdssbdestsearch,,Friday • 5:00 PM,"Watson Lake 3101 Watson Lake Rd Prescott, AZ 86301",Shadows Foundation,https://www.shadowsfoundation.org,https://www.facebook.com/shadowsfoundation/,,
Arizona,Yavapai,Sedona,"Red Rocks Oktoberfest - Craft beer tasting, food trucks, live music and fun",https://www.eventbrite.com/e/red-rocks-oktoberfest-craft-beer-tasting-food-trucks-live-music-and-fun-tickets-682746742887?aff=ebdssbdestsearch,,Saturday • 3:00 PM,"Posse Grounds Park 525 Posse Ground Road Sedona, AZ 86336",Rotary Club of Sedona Red Rocks,http://redrocksoktoberfest.com,https://www.facebook.com/sedonaredrockoktoberfest,,
Arizona,Yavapai,Prescott,Fall Harvest Fest,https://www.eventbrite.com/e/fall-harvest-fest-tickets-717090255257?aff=ebdssbdestsearch,,"Wed, Oct 25 •  5:00 PM ","Del Rio Springs Vineyard Tasting Room 220 West Goodwin Street, Suite#4 Prescott, AZ 86303",Del Rio Springs Vineyard,,,,
Arizona,Yavapai,Prescott,NOCO Harvest Fest — Prescott,https://www.eventbrite.com/e/noco-harvest-fest-prescott-tickets-714158676827?aff=ebdssbdestsearch,,Saturday • 12:00 PM,"The Fair Weather Social Club 222 North Cortez Street Prescott, AZ 86301",NOCO (An Organization Promoting Community on North Cortez St in Prescott),,,,
Arizona,Yavapai,Prescott,13th Annual Holiday Show and Sale - Weavers and Woodturners,https://www.eventbrite.com/e/13th-annual-holiday-show-and-sale-weavers-and-woodturners-tickets-722566675377?aff=ebdssbdestsearch,,"Sat, Nov 11 •  9:00 AM ","824 E Gurley St 824 East Gurley Street Prescott, AZ 86301",Mountain Spinners and Weavers Guild,,,,
Arizona,Yavapai,Prescott,Whoa Man...an unexpected camping experience,https://www.eventbrite.com/e/whoa-manan-unexpected-camping-experience-tickets-149162433855?aff=ebdssbdestsearch,,"Fri, Apr 26 •  5:00 PM ","Private land , on the edge of Prescott AZ 123 tba st (private property) Prescott, AZ 86301",Atomic Logic Audio,http://AtomicLogicAudio.com,https://www.facebook.com/AtomicLogicAudio,https://www.twitter.com/Atomic_Logic,
Arizona,Maricopa,Peoria,"9th Annual AZ Margarita, Mojito, Craft Beer, & Food Truck Festival",https://www.eventbrite.com/e/9th-annual-az-margarita-mojito-craft-beer-food-truck-festival-tickets-680988463827?aff=ebdssbdestsearch,,"Sat, Oct 21 •  2:00 PM ","8708 W Harbor Blvd 8708 West Harbor Boulevard Peoria, AZ 85383",Limelight Entertainment LLC,https://www.limelightentertainment.com/,https://www.facebook.com/LimelightEntertainmentAZ,,
Arizona,Maricopa,Wickenburg,Wickenburg Oktoberfest 2023,https://www.eventbrite.com/e/wickenburg-oktoberfest-2023-tickets-677558625087?aff=ebdssbdestsearch,,Saturday • 3:00 PM,"Stone Park 164 E. Apache St. Wickenburg, AZ 85390",Arizona Craft Brewers Guild,http://ChooseAZBrews.com,https://www.facebook.com/arizonacraftbrewersguild,https://www.twitter.com/AZCraftBrewers,
Arizona,Maricopa,Cave Creek,Taste of Cave Creek,https://www.eventbrite.com/e/taste-of-cave-creek-tickets-704947475877?aff=ebdssbdestsearch,,"Wed, Oct 18 •  5:00 PM  + 1 more","7100 E Cave Creek Rd 7100 East Cave Creek Road Cave Creek, AZ 85331",Stagecoach Village,https://stagecoachvillagecc.com,https://www.facebook.com/stagecoachvillagecavecreekaz,,
Arizona,Maricopa,Cave Creek,Cave Creek Fine Art & Wine Festival,https://www.eventbrite.com/e/cave-creek-fine-art-wine-festival-tickets-722287871467?aff=ebdssbdestsearch,,,"Stagecoach Village 7100 E. Cave Creek Rd Cave Creek, AZ 85331",Arizona Wine Events,http://experiencearizonawine.com/,,,
Arizona,Maricopa,Glendale,Heritage Academy K-8 & Liberty Kids Preschool Open House,https://www.eventbrite.com/e/heritage-academy-k-8-liberty-kids-preschool-open-house-tickets-727676759777?aff=ebdssbdestsearch,,"Wed, Oct 18 •  5:00 PM ","6753 West Pinnacle Peak Road, Glendale, AZ, USA 6753 West Pinnacle Peak Road Glendale, AZ 85310",Heritage Academy,,,,
Arizona,Maricopa,Sun City West,SCWCC Fall Festival,https://www.eventbrite.com/e/scwcc-fall-festival-tickets-681237017257?aff=ebdssbdestsearch,,"Sat, Oct 21 •  11:00 AM ","SCW Christian Church 20803 N 151st Ave Sun City West, AZ 85375","New Jerusalem, LLC",https://thurane.com,https://www.facebook.com/thuraneofnj,https://www.twitter.com/thurane,
Arizona,Maricopa,Sun City,Craft Fair,https://www.eventbrite.com/e/craft-fair-tickets-706075208957?aff=ebdssbdestsearch,,Saturday • 10:00 AM,"20015 N 108th Ave 20015 North 108th Avenue Sun City, AZ 85373",Ventana Lakes,,,,
Arizona,Maricopa,Peoria,E&S Orthodontics Grateful Grins: A Salute to Veterans,https://www.eventbrite.com/e/es-orthodontics-grateful-grins-a-salute-to-veterans-tickets-722199497137?aff=ebdssbdestsearch,,"Fri, Nov 10 •  5:00 PM ","8272 W Lake Pleasant Pkwy #209 8272 West Lake Pleasant Parkway #209 Peoria, AZ 85382",E&S Orthodontics,https://www.esorthodontics.com/,,,
Arizona,Maricopa,Glendale,October Wine Festival,https://www.eventbrite.com/e/october-wine-festival-tickets-710502029697?aff=ebdssbdestsearch,,Saturday • 12:00 PM,"Turquoise Wine Cellar & Tasting Room 8160 West Union Hills Drive ##B200 Glendale, AZ 85308",Turquoise Wine Cellar and Tasting Room,https://www.turquoisewinebar.com,,,
Arizona,Maricopa,Glendale,West Valley Wine Festival,https://www.eventbrite.com/e/west-valley-wine-festival-tickets-729146896997?aff=ebdssbdestsearch,,Saturday • 12:00 PM,"Turquoise Wine Cellar & Tasting Room, West Union Hills Drive, Glendale, AZ, USA 8160 West Union Hills Drive ##B200 Glendale, AZ 85308",,,,,
Arizona,Maricopa,Scottsdale,2023 FuelFest Scottsdale,https://www.eventbrite.com/e/2023-fuelfest-scottsdale-tickets-471359016507?aff=ebdssbdestsearch,,"Sat, Dec 9 •  1:00 PM ","WestWorld of Scottsdale 16601 North Pima Road Scottsdale, AZ 85260",FuelFest,http://www.fuelfest.com,https://www.facebook.com/fuelfest,https://www.twitter.com/codywalkerroww,
Arizona,Maricopa,Scottsdale,OktoberWest - a Kierland After Dark Event,https://www.eventbrite.com/e/oktoberwest-a-kierland-after-dark-event-tickets-704672222587?aff=ebdssbdestsearch,,"Sat, Oct 21 •  7:00 PM ","The Westin Kierland Resort & Spa 6902 East Greenway Parkway Scottsdale, AZ 85254",The Westin Kierland Resort & Spa,https://www.marriott.com/en-us/hotels/phxws-the-westin-kierland-resort-and-spa/overview/?EM=DNM_WESTINKIERLAND.COM,,,
Arizona,Maricopa,Scottsdale,Kierland Fine Art & Wine Festival,https://www.eventbrite.com/e/kierland-fine-art-wine-festival-tickets-689593933017?aff=ebdssbdestsearch,,,"Kierland Commons 15205 North Kierland Boulevard Scottsdale, AZ 85254",Arizona Wine Events,http://experiencearizonawine.com/,,,
Arizona,Maricopa,Scottsdale,2023 FuelFest Scottsdale Vendors,https://www.eventbrite.com/e/2023-fuelfest-scottsdale-vendors-tickets-498322133917?aff=ebdssbdestsearch,,"Sat, Dec 9 •  1:00 PM ","WestWorld of Scottsdale 16601 North Pima Road Scottsdale, AZ 85260",FuelFest,http://www.fuelfest.com,https://www.facebook.com/fuelfest,https://www.twitter.com/codywalkerroww,
Arizona,Maricopa,Glendale,FREE Halloween Party!!!,https://www.eventbrite.com/e/free-halloween-party-registration-723553817947?aff=ebdssbdestsearch,,"Sun, Oct 29 •  9:30 AM ","Christ's Community Church 4530 West Thunderbird Road Glendale, AZ 85306",Christ's Community Church,https://cccaz.org,https://www.facebook.com/137312113058365,,
Arizona,Maricopa,Scottsdale,World Community Autumn Festival,https://www.eventbrite.com/e/world-community-autumn-festival-tickets-672709150177?aff=ebdssbdestsearch,,"Fri, Oct 27 •  4:00 PM ","8901 E Raintree Dr suite 160 8901 East Raintree Drive #suite 160 Scottsdale, AZ 85260",Arizona Institute for Autism,https://www.azinstitute4autism.com/,https://www.facebook.com/114880900797124,,
Arizona,Maricopa,Scottsdale,Seasonal Alchemy,https://www.eventbrite.com/e/seasonal-alchemy-tickets-733632513597?aff=ebdssbdestsearch,,"Fri, Nov 10 •  6:00 PM ","Abundant Space, North Scottsdale Road, Scottsdale, AZ, USA 13610 North Scottsdale Road #Suite 11 Scottsdale, AZ 85254",,,,,
Arizona,Maricopa,Phoenix,Thanxchrismukkah — a super rad winter festival!,https://www.eventbrite.com/e/thanxchrismukkah-a-super-rad-winter-festival-tickets-732203258657?aff=ebdssbdestsearch,,"Sat, Dec 2 •  10:00 AM ","Grounded32 13651 North 32nd Street Phoenix, AZ 85032",Grounded32,http://grounded32.org,https://www.facebook.com/groundedphx,,
Arizona,Maricopa,Surprise,Artisan Treasures 2023 Christmas Market,https://www.eventbrite.com/e/artisan-treasures-2023-christmas-market-tickets-710125994967?aff=ebdssbdestsearch,,"Sat, Nov 25 •  10:00 AM ","15850 N Bullard Ave 15850 North Bullard Avenue Surprise, AZ 85374",Wood & Me dba Artisan Treasures Events,http://www.woodnme.com,,,
Arizona,Maricopa,Surprise,Happy Trails Health and Wellness Fair,https://www.eventbrite.com/e/happy-trails-health-and-wellness-fair-registration-528633405747?aff=ebdssbdestsearch,,Saturday • 10:00 AM,"Happy Trails Resort 17200 West Bell Road Surprise, AZ 85374",Pomerantz Insurance Agency,,,,
