State,County,City,Title,Link,Price,Date Time,Location,Organiser,Website Link,Facebook Link,Twitter Link,Instagram Link
New York,New York,New York,2023 IFPDA Print Fair,https://www.eventbrite.com/e/2023-ifpda-print-fair-tickets-632870140627?aff=ebdssbdestsearch,,"Thu, Oct 26 •  12:00 PM ","Jacob K. Javits Convention Center 655 West 34th Street River Pavilion New York, NY 10001",IFPDA | International Fine Print Dealers Assoc,https://www.ifpda.org/,https://www.facebook.com/ifpda,,
New York,New York,New York,New York African Restaurant Week  Festival 2023,https://www.eventbrite.com/e/new-york-african-restaurant-week-festival-2023-tickets-258083844727?aff=ebdssbdestsearch,,Saturday • 11:00 AM,"City College - Harlem 160 Convent Avenue New York, NY 10031",African Restaurant Week,http://africanrestaurantweek.com,https://www.facebook.com/nyafricanrestaurantweek,,
New York,New York,New York,Chelsea Film Festival 2023 Passes,https://www.eventbrite.com/e/chelsea-film-festival-2023-passes-tickets-662463184217?aff=ebdssbdestsearch,,Tomorrow • 6:00 PM,"Regal Union Square 4DX & ScreenX 850 Broadway New York, NY 10003",Chelsea Film Festival,,https://www.facebook.com/chelseafilmfestival,https://www.twitter.com/chelseafilm,
New York,Kings,Brooklyn,A Current Affair: Pop Up Vintage Marketplace in Brooklyn | Fall 2023,https://www.eventbrite.com/e/a-current-affair-pop-up-vintage-marketplace-in-brooklyn-fall-2023-tickets-606863694647?aff=ebdssbdestsearch,,Saturday • 12:00 PM,"Industry City 51 34th street Brooklyn, NY 11232",A Current Affair,http://itsacurrentaffair.com,https://www.facebook.com/itsacurrentaffair,,
New York,New York,New York,NYC Fungus Festival 2023,https://www.eventbrite.com/e/nyc-fungus-festival-2023-tickets-707452468377?aff=ebdssbdestsearch,,Sunday • 11:00 AM,"Randall's Island Urban Farm Wards Meadow Loop New York, NY 10035",New York Mycological Society,https://newyorkmyc.org,,,
New Jersey,Hudson,Jersey City,Art Fair 14C - 5th Edition,https://www.eventbrite.com/e/art-fair-14c-5th-edition-tickets-696237163097?aff=ebdssbdestsearch,,Tomorrow • 3:00 PM,"Central Railroad of New Jersey Terminal 1 Audrey Zapp Drive Jersey City, NJ 07305",Art Fair 14C,http://www.artfair14c.com,https://www.facebook.com/artfair14c,https://www.twitter.com/artfair14c,
New York,Kings,Brooklyn,The Brooklyn Pancakes & Booze Art Show,https://www.eventbrite.com/e/the-brooklyn-pancakes-booze-art-show-tickets-688109543167?aff=ebdssbdestsearch,,Saturday • 7:00 PM,"9 Bob Note 270 Meserole Street Brooklyn, NY 11206",The Pancakes & Booze Art Show,,https://www.facebook.com/pancakesandboozeartshow,https://www.twitter.com/pancakesbooze,
New York,Queens,Sunnyside,Taste of Sunnyside 2023,https://www.eventbrite.com/e/taste-of-sunnyside-2023-tickets-721446785757?aff=ebdssbdestsearch,,Sunday • 2:00 PM,"Restaurants throughout Sunnyside! Lowery Plaza, 40th Street & Queens Boulevard Bliss Plaza, 46th Street & Queens Boulevard Sunnyside, NY 11104",Sunnyside Shines Business Improvement District,,https://www.facebook.com/sunnysideshines,https://www.twitter.com/sunnysideshines,
New York,Kings,Brooklyn,Playing Sam,https://www.eventbrite.com/e/playing-sam-tickets-720945155367?aff=ebdssbdestsearch,,"Fri, Oct 27 •  6:00 PM ","Williamsburg Cinemas 217 Grand Street Brooklyn, NY 11211",Bushwick Film Festival,https://watch.bushwickfilmfestival.com/,https://www.facebook.com/BushwickFilmFestival,,
New York,New York,New York,"Reel Sisters Awards Ceremony @Riverside Theater - Oct. 11, 2023",https://www.eventbrite.com/e/reel-sisters-awards-ceremony-riverside-theater-oct-11-2023-tickets-694161885887?aff=ebdssbdestsearch,,Today • 6:30 PM,"The Riverside Theatre 91 Claremont Avenue New York, NY 10027",African Voices Magazine,,https://www.facebook.com/reelsistersfilmfestival,https://www.twitter.com/africanvoices,
New York,New York,New York,Monster Puppet Workshop with Monkey Boys Productions,https://www.eventbrite.com/e/monster-puppet-workshop-with-monkey-boys-productions-tickets-725282949827?aff=ebdssbdestsearch,,"Sat, Oct 28 •  1:00 PM ","Pier 57 25 11th Avenue New York, NY 10011",Children's Museum of the Arts,http://www.cmany.org,https://www.facebook.com/childrensmuseumofthearts,https://www.twitter.com/cmainnyc,
New York,New York,New York,Children's Museum of the Arts' Halloween Pier Party!,https://www.eventbrite.com/e/childrens-museum-of-the-arts-halloween-pier-party-tickets-724217141967?aff=ebdssbdestsearch,,"Sun, Oct 29 •  11:00 AM ","Pier 57 25 11th Avenue New York, NY 10011",Children's Museum of the Arts,http://www.cmany.org,https://www.facebook.com/childrensmuseumofthearts,https://www.twitter.com/cmainnyc,
New York,Kings,Brooklyn,Experimental Feature: Little Boxes,https://www.eventbrite.com/e/experimental-feature-little-boxes-tickets-720929628927?aff=ebdssbdestsearch,,"Thu, Oct 26 •  6:15 PM ","Williamsburg Cinemas 217 Grand Street Brooklyn, NY 11211",Bushwick Film Festival,https://watch.bushwickfilmfestival.com/,https://www.facebook.com/BushwickFilmFestival,,
New Jersey,Essex,Newark,Community Day: Fall Festival,https://www.eventbrite.com/e/community-day-fall-festival-tickets-690863620687?aff=ebdssbdestsearch,,"Sat, Oct 21 •  12:00 PM ","The Newark Museum of Art 49 Washington St Newark, NJ 07102",The Newark Museum of Art,http://www.newarkmuseumart.org,https://www.facebook.com/NewarkMuseumArt,https://www.twitter.com/NewarkMuseumArt,
New York,Kings,Brooklyn,Bad Like Brooklyn Dance Hall,https://www.eventbrite.com/e/bad-like-brooklyn-dance-hall-tickets-720948615717?aff=ebdssbdestsearch,,"Fri, Oct 27 •  8:30 PM ","Williamsburg Cinemas 217 Grand Street Brooklyn, NY 11211",Bushwick Film Festival,https://watch.bushwickfilmfestival.com/,https://www.facebook.com/BushwickFilmFestival,,
New York,New York,New York,Sahashra Deepotsavam,https://www.eventbrite.com/e/sahashra-deepotsavam-tickets-719548046577?aff=ebdssbdestsearch,,"Fri, Oct 20 •  6:30 PM ","Bhakti Center 25 1st Avenue New York, NY 10003",The Temple at Bhakti Center,http://bhakticenter.org,,,
New York,New York,New York,Cardtopia 2023 NYC,https://www.eventbrite.com/e/cardtopia-2023-nyc-tickets-643198623397?aff=ebdssbdestsearch,,,"Moonlight Studios NYC 330 Hudson Street New York, NY 10013",Cardtopia World,https://www.cardtopiaworld.com/,https://www.facebook.com/Cardtopiaworld,https://www.twitter.com/cardtopiaworld,
