State,County,City,Title,Link,Price,Date Time,Location,Organiser,Website Link,Facebook Link,Twitter Link,Instagram Link
Florida,Miami-Dade,Miami Beach,South Beach Seafood Festival,https://www.eventbrite.com/e/south-beach-seafood-festival-tickets-520838059657?aff=ebdssbdestsearch,,"Wed, Oct 18 •  6:30 PM ","Multiple Locations | Check Ticket for Details South Beach Miami Beach, FL 33139",South Beach Seafood Festival,,https://www.facebook.com/sobeseafoodfest,https://www.twitter.com/sobeseafoodfest,
Florida,Miami-Dade,Miami,Kiddo-Ween Party,https://www.eventbrite.com/e/kiddo-ween-party-tickets-616454831997?aff=ebdssbdestsearch,,"Sat, Oct 28 •  2:00 PM ","CityPlace Doral 8300 Northwest 36th Street Doral, FL 33166",Kiddos Magazine,http://www.kiddosmagazine.com,https://www.facebook.com/KiddosMagazine,https://www.twitter.com/kiddosmagazine,
Florida,Miami-Dade,Miami,Diwali Miami 23',https://www.eventbrite.com/e/diwali-miami-23-tickets-662739811617?aff=ebdssbdestsearch,,"Sun, Nov 12 •  5:00 PM ","Wynwood 2300  N Miami Ave Miami, FL 33127",Mix Media Ent.,,,,
Florida,Miami-Dade,Miami Beach,North Beach Music Festival 2023 -- 2 DAY FRI/SAT TICKETS,https://www.eventbrite.com/e/north-beach-music-festival-2023-2-day-frisat-tickets-tickets-717246001097?aff=ebdssbdestsearch,,"Fri, Dec 1 •  4:00 PM ","Miami Beach Bandshell 7275 Collins Avenue Miami Beach, FL 33141",GMP Live,,,,
Florida,Miami-Dade,Miami,Bark-toberfest,https://www.eventbrite.com/e/bark-toberfest-tickets-718107969267?aff=ebdssbdestsearch,,"Sun, Oct 22 •  11:00 AM ","Woof N Wag Miami, Southwest 46th Street, Miami, FL, USA 12350 Southwest 46th Street Miami, FL 33175",Woof N Wag Miami,https://woofnwagmiami.com/,,,
Florida,Miami-Dade,Miami,Oktoberfest Miami 2023  Weekend #1 | GA 3-DAY TICKET (Save 20%),https://www.eventbrite.com/e/oktoberfest-miami-2023-weekend-1-ga-3-day-ticket-save-20-tickets-673146769107?aff=ebdssbdestsearch,,Friday • 6:00 PM,"German-American Social Club 11919 Southwest 56th Street Miami, FL 33175",German American Social Club of Greater Miami Inc.,https://gascmiami.org/,https://www.facebook.com/GASCMiami,,
Florida,Miami-Dade,Miami Beach,New Moon Kundalini Activation,https://www.eventbrite.com/e/new-moon-kundalini-activation-tickets-724058136377?aff=ebdssbdestsearch,,Tomorrow • 7:00 PM,"Faena Hotel 3201 Collins Avenue Miami Beach, FL 33140",Modern ŌM,http://www.clubmodernom.com,https://www.facebook.com/modernomnow,,
Florida,Miami-Dade,Miami,8th Annual iGen Film Festival,https://www.eventbrite.com/e/8th-annual-igen-film-festival-tickets-719378188527?aff=ebdssbdestsearch,,"Thu, Oct 26 •  4:00 PM ","The Lyric Theater 819 Northwest 2nd Avenue Miami, FL 33136",Elijah Wells Films,,,,
Florida,Miami-Dade,Miami,Howl-O-Ween,https://www.eventbrite.com/e/howl-o-ween-tickets-682237299127?aff=ebdssbdestsearch,,Saturday • 11:00 AM,"Pinecrest Gardens 11000 Red Road Pinecrest, FL 33156",Pinecrest Gardens,https://www.pinecrestgardens.org/gardens-home,,,
Florida,Miami-Dade,Miami,South Miami Lutheran Church School Fall Festival & Pumpkin Patch Fundraiser,https://www.eventbrite.com/e/south-miami-lutheran-church-school-fall-festival-pumpkin-patch-fundraiser-registration-722225334417?aff=ebdssbdestsearch,,"Sun, Oct 22 •  11:00 AM ","South Miami Lutheran Church School 7190 Sunset Drive Miami, FL 33143",South Miami Lutheran Church School PTA,,,,
Florida,Miami-Dade,Miami,Family Garden Day: Growing Native,https://www.eventbrite.com/e/family-garden-day-growing-native-tickets-690155933977?aff=ebdssbdestsearch,,"Sat, Nov 4 •  9:00 AM ","Pinecrest Gardens 11000 Southwest 57th Avenue Pinecrest, FL 33156",Pinecrest Gardens,https://www.pinecrestgardens.org/gardens-home,,,
Florida,Miami-Dade,Miami Beach,"Beyond Words | Life to Paper Book Festival | Miami, FL | Nov 10-12, 2023",https://www.eventbrite.com/e/beyond-words-life-to-paper-book-festival-miami-fl-nov-10-12-2023-tickets-695385535857?aff=ebdssbdestsearch,,"Fri, Nov 10 •  5:00 PM ","Nautilus Sonesta Miami Beach 1825 Collins Avenue Miami Beach, FL 33139",Life to Paper Book Festival,https://www.lifetopaperbookfest.com,,,
