State,County,City,Title,Link,Price,Date Time,Location,Organiser,Website Link,Facebook Link,Twitter Link,Instagram Link
California,San Luis Obispo,Arroyo Grande,The Addams Family Musical by Coastal Youth Theater-Heartland Charter School,https://www.eventbrite.com/e/the-addams-family-musical-by-coastal-youth-theater-heartland-charter-school-tickets-696107916517?aff=ebdssbdestsearch,,"Fri, Nov 3 •  6:15 PM ","Clark Center for the Performing Arts 487 Fair Oaks Avenue Arroyo Grande, CA 93420",Heartland Charter School,https://heartlandcharterschool.com/,,,
California,San Luis Obispo,San Luis Obispo,2023 Festival of Journalism,https://www.eventbrite.com/e/2023-festival-of-journalism-tickets-672598007747?aff=ebdssbdestsearch,,,"California Polytechnic State University 1 Grand Avenue San Luis Obispo, CA 93407",Cal Poly Journalism,,,,
California,San Luis Obispo,San Luis Obispo,Entrepreneur Fair /Sellers application -Heartland Charter School,https://www.eventbrite.com/e/entrepreneur-fair-sellers-application-heartland-charter-school-tickets-708094177747?aff=ebdssbdestsearch,,"Thu, Nov 9 •  10:00 AM ","San Luis Obispo Elks Lodge #322 222 Elks Lane San Luis Obispo, CA 93401",Heartland Charter School,https://heartlandcharterschool.com/,,,
California,San Luis Obispo,San Luis Obispo,Entrepreneur Fair -Heartland Charter School,https://www.eventbrite.com/e/entrepreneur-fair-heartland-charter-school-tickets-707927188277?aff=ebdssbdestsearch,,"Thu, Nov 9 •  10:00 AM ","San Luis Obispo Elks Lodge #322 222 Elks Lane San Luis Obispo, CA 93401",Heartland Charter School,https://heartlandcharterschool.com/,,,
California,San Luis Obispo,Arroyo Grande,Arroyo Grande Beer & Wine Festival,https://www.eventbrite.com/e/arroyo-grande-beer-wine-festival-tickets-709467435197?aff=ebdssbdestsearch,,"Sat, Nov 4 •  12:00 PM ","Heritage Square Park 201 Nelson Street Arroyo Grande, CA 93420",AGVA,,,,
California,San Luis Obispo,San Luis Obispo,"Harvest on the Coast, November 4, 2023",https://www.eventbrite.com/e/harvest-on-the-coast-november-4-2023-tickets-700469762917?aff=ebdssbdestsearch,,"Sat, Nov 4 •  2:00 PM ","Chamisal Winery and Event Center 7767 Orcutt Rd San Luis Obispo, CA 93401",San Luis Obispo Coast Wine Collective,,https://www.facebook.com/slocoastwinecountry,,
California,San Luis Obispo,Atascadero,SLO County Science Fair & Hands on Science Day-Heartland Charter School,https://www.eventbrite.com/e/slo-county-science-fair-hands-on-science-day-heartland-charter-school-tickets-706906565567?aff=ebdssbdestsearch,,"Thu, Nov 16 •  3:00 PM ","Pavilion on the Lake 9315 Pismo Avenue Atascadero, CA 93422",Heartland Charter School,https://heartlandcharterschool.com/,,,
California,San Luis Obispo,Atascadero,1st Annual Optimist Festival of Trees,https://www.eventbrite.com/e/1st-annual-optimist-festival-of-trees-tickets-716253091277?aff=ebdssbdestsearch,,"Sat, Nov 18 •  2:00 PM ","Pavilion on the Lake 9315 Pismo Avenue Atascadero, CA 93422",Optimist Club of Paso Robles,,,,
California,San Luis Obispo,San Luis Obispo,Makers at the Market Holiday Emporium,https://www.eventbrite.com/e/makers-at-the-market-holiday-emporium-tickets-717515968577?aff=ebdssbdestsearch,,"Sat, Dec 2 •  11:00 AM ","San Luis Obispo Public Market 3845 South Higuera Street San Luis Obispo, CA 93401",San Luis Obispo Public Market,,,,
California,San Luis Obispo,Pismo Beach,Dolphin Bay Holiday Cheer Market,https://www.eventbrite.com/e/dolphin-bay-holiday-cheer-market-tickets-723136319197?aff=ebdssbdestsearch,,"Sat, Dec 2 •  11:00 AM ","Dolphin Bay Resort & Spa 2727 Shell Beach Road Pismo Beach, CA 93449",Dolphin Bay Resort & Spa,https://www.thedolphinbay.com/,,,
