State,County,City,Title,Link,Price,Date Time,Location,Organiser,Website Link,Facebook Link,Twitter Link,Instagram Link
California,San Bernardino,Adelanto,KUSHSTOCK,https://www.eventbrite.com/e/kushstock-tickets-626737357307?aff=ebdssbdestsearch,,"Sat, Oct 28 •  12:00 PM ","Adelanto Stadium and Event Center 12000 Stadium Way Adelanto, CA 92301",DR. K,,,,
California,San Bernardino,Hesperia,Fall Farm Festival Fundraiser,https://www.eventbrite.com/e/fall-farm-festival-fundraiser-tickets-716739917387?aff=ebdssbdestsearch,,"Sun, Oct 15 •  12:00 PM ","8871 Vincent Dr, Hesperia, CA, USA 8871 Vincent Drive Hesperia, CA 92344",Wild Wind Ranch,,,,
California,San Bernardino,Adelanto,The 6 Elements Independent Hip-Hop Festival,https://www.eventbrite.com/e/the-6-elements-independent-hip-hop-festival-tickets-707982764507?aff=ebdssbdestsearch,,"Sat, Nov 4 •  11:00 AM ","Adelanto Plaza & Event Center 12000 Stadium Way Adelanto, CA 92301",Averi Davis Blackwell,https://www.iamsellassie.com/,,,
California,San Bernardino,Apple Valley,Community Activity Day In The High Desert,https://www.eventbrite.com/e/community-activity-day-in-the-high-desert-tickets-721568078547?aff=ebdssbdestsearch,,"Sat, Oct 14 •  11:00 AM ","Apple Valley Inn 20601 California 18 Apple Valley, CA 92307",The Way Of The Cross Church,,,,
California,San Bernardino,Victorville,Lets Pick Some Grapes!,https://www.eventbrite.com/e/lets-pick-some-grapes-tickets-715866795857?aff=ebdssbdestsearch,,"Sat, Oct 28 •  5:00 PM ","Our Backyard 15564 7th Street Victorville, CA 92395",The Mathews Family,,,,
California,Los Angeles,Wrightwood,Wrightwood Elementary School Annual Fall Festival,https://www.eventbrite.com/e/wrightwood-elementary-school-annual-fall-festival-tickets-717411466007?aff=ebdssbdestsearch,,"Sat, Oct 21 •  3:00 PM ","Wrightwood Elementary School, California 2, Wrightwood, CA, USA 1175 California 2 Wrightwood, CA 92397",,,,,
California,San Bernardino,Crestline,Corks & Hops 2023,https://www.eventbrite.com/e/corks-hops-2023-tickets-621981753167?aff=ebdssbdestsearch,,Saturday • 3:00 PM,"Crestline 23971 Lake Drive Crestline, CA 92325",Corks & Hops,,,,
California,San Bernardino,San Bernardino,Harvest Festival,https://www.eventbrite.com/e/harvest-festival-tickets-711465732157?aff=ebdssbdestsearch,,"Sat, Oct 21 •  1:00 PM ","Dunamis Power Christian Fell, Little Mountain Drive, San Bernardino, CA, USA 2700 Little Mountain Drive San Bernardino, CA 92405",The Good Vibe Market,http://www.TheGoodVibeMarkets.com,,,
California,San Bernardino,Rancho Cucamonga,The Never Stop Grinding Pop-Up Experience Part 6 (Black Friday Edition),https://www.eventbrite.com/e/the-never-stop-grinding-pop-up-experience-part-6-black-friday-edition-tickets-702384901147?aff=ebdssbdestsearch,,"Fri, Nov 24 •  12:00 PM ","Victoria Gardens Cultural Center 12505 Cultural Center Drive Rancho Cucamonga, CA 91739",Never Stop Grinding,,,,https://instagram.com/the_nsg_popup_experience?igshid=1715nf4cuutc8
California,San Bernardino,Fontana,North Fontana Farmers Market,https://www.eventbrite.com/e/north-fontana-farmers-market-tickets-470130421747?aff=ebdssbdestsearch,,Sunday • 10:00 AM + 12 more,"Fontana Farmers Market 15556 Summit Avenue Fontana, CA 92336",Baboon Outdoors,https://www.BaboonOutdoors.com,,,
