State,County,City,Title,Link,Price,Date Time,Location,Organiser,Website Link,Facebook Link,Twitter Link,Instagram Link
California,Ventura,Simi Valley,Oktoberfest - Simi Valley 2023,https://www.eventbrite.com/e/oktoberfest-simi-valley-2023-tickets-645148475457?aff=ebdssbdestsearch,,Saturday • 12:00 PM,"LEMON PARK (RANCHO TAPO COMMUNITY PARK) 3700 Avenida Simi Simi Valley, CA 93063",The Rotary Club of Simi Sunrise,,,,
California,Ventura,Brandeis,Alonim's 70th Anniversary Community Shabbat,https://www.eventbrite.com/e/alonims-70th-anniversary-community-shabbat-tickets-699945625207?aff=ebdssbdestsearch,,"Fri, Oct 13 •  4:00 PM ","Brandeis-Bardin Campus of American Jewish University 1101 Peppertree Lane Simi Valley, CA 93064",Camp Alonim,,https://www.facebook.com/campalonim,,
California,Los Angeles,Calabasas,Archaeology Day,https://www.eventbrite.co.uk/e/archaeology-day-tickets-668244355857?aff=ebdssbdestsearch,,"Sat, Oct 14 •  9:00 AM ","Santa Monica Mountains Interagency Visitor Center - King Gillette Ranch 26876 Mulholland Highway Calabasas, CA 91302",Santa Monica Mountains Fund,,https://www.facebook.com/santamonicamountainsfund,https://www.twitter.com/@SamoFund,
California,Ventura,Brandeis,Alonim's 70th Anniversary Celebratory Evening at HOB,https://www.eventbrite.com/e/alonims-70th-anniversary-celebratory-evening-at-hob-tickets-699902235427?aff=ebdssbdestsearch,,"Sat, Oct 14 •  7:00 PM ","Brandeis-Bardin Campus of American Jewish University 1101 Peppertree Lane Simi Valley, CA 93064",Camp Alonim,,https://www.facebook.com/campalonim,,
California,Ventura,Brandeis,Alonim's 70th Anniversary Family Field Day,https://www.eventbrite.com/e/alonims-70th-anniversary-family-field-day-tickets-699969917867?aff=ebdssbdestsearch,,"Sun, Oct 15 •  12:00 PM ","Brandeis-Bardin Campus of American Jewish University 1101 Peppertree Lane Simi Valley, CA 93064",Camp Alonim,,https://www.facebook.com/campalonim,,
California,Los Angeles,Topanga,Sober Musician's Picnic,https://www.eventbrite.com/e/sober-musicians-picnic-tickets-677051568467?aff=ebdssbdestsearch,,"Sun, Oct 22 •  9:00 AM ","1440 North Topanga Canyon Boulevard, Topanga, CA, USA 1440 North Topanga Canyon Boulevard Topanga, CA 90290",Mimi W.,,,,
California,Ventura,Moorpark,Grape Stomp and Harvest Celebration,https://www.eventbrite.com/e/grape-stomp-and-harvest-celebration-tickets-725496097357?aff=ebdssbdestsearch,,Sunday • 2:00 PM,"Walnut Grove at Tierra Rejada Ranch 3370 Sunset Valley Road Moorpark, CA 93021",Cavaletti Vineyards,https://www.cavalettivineyards.com,,,
California,Los Angeles,Calabasas,Spooky Village at Gelson's Village Calabasas,https://www.eventbrite.com/e/spooky-village-at-gelsons-village-calabasas-tickets-707913306757?aff=ebdssbdestsearch,,"Sat, Oct 28 •  3:00 PM ","Gelson's Village Calabasas 22277 Mulholland Highway Calabasas, CA 91302",NewMark Merrill Companies,,,,
California,Ventura,Thousand Oaks,Kids Fun Zone - Halloween Party,https://www.eventbrite.com/e/kids-fun-zone-halloween-party-tickets-539873615517?aff=ebdssbdestsearch,,"Sat, Oct 28 •  12:00 PM ","Janss Marketplace 275 North Moorpark Road Thousand Oaks, CA 91360",Janss Marketplace,,,,
California,Ventura,Simi Valley,Los Angeles magazine's The Food Event 2023,https://www.eventbrite.com/e/los-angeles-magazines-the-food-event-2023-tickets-726476208897?aff=ebdssbdestsearch,,"Sun, Nov 12 •  2:00 PM ","Hummingbird Nest Ranch 2940 Kuehner Drive Simi Valley, CA 93063",Los Angeles magazine,http://lamag.com,https://www.facebook.com/LosAngelesmag,https://www.twitter.com/lamag,
