State,County,City,Title,Link,Price,Date Time,Location,Organiser,Website Link,Facebook Link,Twitter Link,Instagram Link
California,San Francisco,San Francisco,Mission Bay Artisan Market,https://www.eventbrite.com/e/mission-bay-artisan-market-tickets-702891085157?aff=ebdssbdestsearch,Free,"Sat, Oct 7 •  12:00 PM ","701 Mission Bay Boulevard North 701 Mission Bay Boulevard North San Francisco, CA 94158",Creative Communal,http://www.creativecommunal.com,https://www.facebook.com/creativecommunal,,
California,Alameda,Oakland,FREE: Drunken Film Fest 2023 (10/8-10/13),https://www.eventbrite.com/e/free-drunken-film-fest-2023-108-1013-tickets-720687344247?aff=ebdssbdestsearch,Free,"Sun, Oct 8 •  7:00 PM ","Oakland, CA 409 13th Street Oakland, CA 94612",Drunken Film Fest,,https://www.facebook.com/DFFOakland,https://www.twitter.com/DFFOakland,
California,San Francisco,San Francisco,5th Annual Bay Area Chuseok Festival,https://www.eventbrite.com/e/5th-annual-bay-area-chuseok-festival-registration-646575523797?aff=ebdssbdestsearch,,Today • 11:00 AM,"Presidio Main Parade Lawn Montgomery St San Francisco, CA 94129","Korean Center, Inc.",,https://www.facebook.com/koreancenterinc,,
California,San Francisco,San Francisco,How Weird Street Faire 2023,https://www.eventbrite.com/e/how-weird-street-faire-2023-tickets-665483287427?aff=ebdssbdestsearch,,"Sat, Oct 14 •  12:00 PM ","Howard Street & 2nd Street 222 Second St. San Francisco, CA 94105",How Weird Street Faire,https://HowWeird.org,https://www.facebook.com/HowWeirdStreetFaire,https://www.twitter.com/@HowWeirdSF,
,,,Career Fair: Exclusive Tech Hiring Event,https://www.eventbrite.com/e/career-fair-exclusive-tech-hiring-event-tickets-63168789550?aff=ebdssbdestsearch,,"Fri, Oct 27 •  9:00 AM ","Moved to Virtual Event Online San Francisco, CA 94013",Tech Career Fair,,,,
California,San Francisco,San Francisco,City Kids Family Fair 2023,https://www.eventbrite.com/e/city-kids-family-fair-2023-tickets-707893326997?aff=ebdssbdestsearch,,"Sat, Oct 7 •  10:00 AM ","Children's Council Of San Francisco 445 Church Street San Francisco, CA 94114",Children's Council of San Francisco,https://www.childrenscouncil.org/,https://www.facebook.com/childrenscouncil/,https://www.twitter.com/childcaresf,
California,San Francisco,San Francisco,Shipyard Open Studios - Fall 2023,https://www.eventbrite.com/e/shipyard-open-studios-fall-2023-registration-673477287697?aff=ebdssbdestsearch,,"Sat, Oct 21 •  11:00 AM ","Hunters Point Shipyard 451 Galvez Ave San Francisco, CA 94124",Shipyard Trust for the Arts,http://www.shipyardartists.com,https://www.facebook.com/shipyardartists,https://www.twitter.com/ShipyardArtists,
California,San Francisco,San Francisco,Chocolate & Wine CRUISE on San Francisco Bay: Fall 2023 Edition,https://www.eventbrite.com/e/chocolate-wine-cruise-on-san-francisco-bay-fall-2023-edition-tickets-638344324057?aff=ebdssbdestsearch,,"Sat, Oct 14 •  1:00 PM ","Pier 40 89 King St San Francisco, CA 94107",TasteTV,http://www.TasteTV.com,https://www.facebook.com/TasteTV,https://www.twitter.com/TasteTV,
California,San Francisco,San Francisco,The Everybody Eats Festival,https://www.eventbrite.com/e/the-everybody-eats-festival-tickets-706380451947?aff=ebdssbdestsearch,,"Sat, Oct 7 •  12:00 PM ","The Crossing 200 folsom st San Francisco, CA 94105",Anthony Presents LLC,http://AnthonyPresents.com,https://www.facebook.com/Anthonypresents,https://www.twitter.com/AnthPresents,
California,Alameda,Oakland,Mobile Museum at Oaktoberfest (Oakland) 10/01,https://www.eventbrite.com/e/mobile-museum-at-oaktoberfest-oakland-1001-tickets-716644401697?aff=ebdssbdestsearch,,Tomorrow • 10:00 AM,"Dimond District Fruitvale Ave & MacArthur Blvd Oakland, CA 94602",Habitot Children's Museum,https://www.habitot.org,,,
California,Alameda,Berkeley,Trumer Oktoberfest,https://www.eventbrite.com/e/trumer-oktoberfest-tickets-715608051947?aff=ebdssbdestsearch,,"Sat, Oct 7 •  12:00 PM ","Trumer Brauerei, Fourth Street, Berkeley, CA, USA 1404 Fourth Street Berkeley, CA 94710",Trumer Brewery,,,,
California,San Francisco,San Francisco,"AI Film and AI Games Festival: October 10, 2023, San Francisco",https://www.eventbrite.com/e/ai-film-and-ai-games-festival-october-10-2023-san-francisco-tickets-565398942457?aff=ebdssbdestsearch,,"Tue, Oct 10 •  5:30 PM ","Alamo Drafthouse Cinema New Mission 2550 Mission Street San Francisco, CA 94110",AI Creatives,,,,
California,San Francisco,San Francisco,30th Anniversary Celebration,https://www.eventbrite.com/e/30th-anniversary-celebration-tickets-700529782437?aff=ebdssbdestsearch,,,"Family Connections Centers • Excelsior 5016 Mission Street San Francisco, CA 94112",Family Connections Centers,https://fccenters.org,,,
California,San Francisco,San Francisco,PickleFest at Sports Basement Presidio,https://www.eventbrite.com/e/picklefest-at-sports-basement-presidio-tickets-709766971117?aff=ebdssbdestsearch,,Tomorrow • 10:00 AM,"Sports Basement Presidio 610 Old Mason Street San Francisco, CA 94129",Sports Basement,https://shop.sportsbasement.com/,,,
California,Alameda,Oakland,"Bavarian Hall - Reserve Your Table + Food for ""dine-in"" @ Oaktoberfest 2023",https://www.eventbrite.com/e/bavarian-hall-reserve-your-table-food-for-dine-in-oaktoberfest-2023-tickets-633312754497?aff=ebdssbdestsearch,,Today • 11:00 AM + 6 more,"3408 Dimond Ave - off Fruitvale Ave. 3408 Dimond Avenue Oakland, CA 94602",Oaktoberfest in the Dimond,http://www.oaktoberfest.org/,https://www.facebook.com/OaktoberfestStreetfest,https://www.twitter.com/oaktoberfest,
California,Alameda,Oakland,12th Annual Autumn Lights Festival,https://www.eventbrite.com/e/12th-annual-autumn-lights-festival-tickets-678532217127?aff=ebdssbdestsearch,,"Thu, Oct 12 •  6:00 PM  + 2 more","Gardens at Lake Merritt 666 Bellevue Avenue Oakland, CA 94610",The Friends of the Gardens at Lake Merritt,http://gardensatlakemerritt.org/,https://www.facebook.com/gardensatlakemerritt,https://www.twitter.com/lakegardens,
California,San Francisco,San Francisco,Brews on the Bay 2023 - Sip craft beer overlooking SF Bay atop WWII Ship!,https://www.eventbrite.com/e/brews-on-the-bay-2023-sip-craft-beer-overlooking-sf-bay-atop-wwii-ship-tickets-691808717497?aff=ebdssbdestsearch,,"Sat, Oct 14 •  1:30 PM ","SS Jeremiah O'Brien Pier 35 San Francisco, CA 94133",Bay Area Brewers Guild,http://drinkbay.beer,https://www.facebook.com/drinkbaybeer,https://www.twitter.com/drinkbaybeer,
California,San Francisco,San Francisco,SF Community Running Festival,https://www.eventbrite.com/e/sf-community-running-festival-tickets-668635345317?aff=ebdssbdestsearch,,"Sun, Oct 15 •  9:30 AM ","Community Room at Sports Basement Presidio 610 Old Mason Street San Francisco, CA 94129",SF Community Running Festival,https://linktr.ee/sfrunfest,,,
California,San Francisco,San Francisco,5th Annual Oktoberfest by the Beach at the Irish Center,https://www.eventbrite.com/e/5th-annual-oktoberfest-by-the-beach-at-the-irish-center-tickets-694907897227?aff=ebdssbdestsearch,,Today • 4:00 PM,"United Irish Cultural Center 2700 45th Avenue San Francisco, CA 94116",United Irish Cultural Center,https://irishcentersf.org/,https://www.facebook.com/IrishCenterSF,https://www.twitter.com/uiccsanfran,
California,San Francisco,San Francisco,The San Francisco Fall Cider Fest,https://www.eventbrite.com/e/the-san-francisco-fall-cider-fest-tickets-699866147487?aff=ebdssbdestsearch,,"Sat, Nov 11 •  12:00 PM ","SPARK Social SF 601 Mission Bay Boulevard North San Francisco, CA 94158",SPARK Social SF,,https://www.facebook.com/sparksocialsf,https://www.twitter.com/@SPARKsocialSF,
California,Alameda,Alameda,Beer City Alameda 2023,https://www.eventbrite.com/e/beer-city-alameda-2023-tickets-662520064347?aff=ebdssbdestsearch,,"Sat, Oct 14 •  12:00 PM ","Alameda Waterfront Park 2151 Ferry Point Alameda, CA 94501",Siberian Unicorn,https://siberianunicorn.com,,,
California,Contra Costa,Richmond,"Spirit & Soul Festival 2023 | Artisan, Retail, Info Booth",https://www.eventbrite.com/e/spirit-soul-festival-2023-artisan-retail-info-booth-tickets-689654734877?aff=ebdssbdestsearch,,"Sat, Oct 14 •  11:00 AM ","Downtown Richmond Ca. Macdonald Avenue Richmond, CA 94801",Richmond Main Street Initiative,http://www.richmondmainstreet.org,https://www.facebook.com/richmondmainstreet,https://www.twitter.com/RMSI,
California,Alameda,Alameda,CCS/BACBC/TTP Trunk or Treat,https://www.eventbrite.com/e/ccsbacbcttp-trunk-or-treat-tickets-702206457417?aff=ebdssbdestsearch,,"Sat, Oct 28 •  5:00 PM ","Coastline Christian Schools 1801 North Loop Road Alameda, CA 94502",Coastline Christian Schools,https://www.coastlinechristian.org/,https://www.facebook.com/coastlinechristianschools,,
California,Alameda,Hayward,Fearless Path 5th Annual Halloween TRUNK or TREAT,https://www.eventbrite.com/e/fearless-path-5th-annual-halloween-trunk-or-treat-tickets-711818567497?aff=ebdssbdestsearch,,"Sat, Oct 14 •  1:00 PM ","HUB HUSD Parent Resource Center, Soto Road, Hayward, CA, USA 24823 Soto Road Hayward, CA 94544",Fearless Path,https://www.fearlesspath.org,https://www.facebook.com/fearlesspath,,
California,San Mateo,San Mateo,2023 Beats by the Bay Dandiya,https://www.eventbrite.com/e/2023-beats-by-the-bay-dandiya-tickets-699446020877?aff=ebdssbdestsearch,,"Fri, Oct 20 •  5:00 PM ","Leo J. Ryan Park 650 Shell Boulevard Foster City, CA 94404",BayBasi,https://www.baybasi.us,,,
California,San Francisco,San Francisco,SF Music Day 2023,https://www.eventbrite.com/e/sf-music-day-2023-tickets-686663257287?aff=ebdssbdestsearch,,"Sun, Oct 15 •  12:00 PM ","War Memorial Veterans Building 401 Van Ness Avenue San Francisco, CA 94102",InterMusic SF,https://www.intermusicsf.org,https://www.facebook.com/InterMusicSF,https://www.twitter.com/InterMusicSF,
California,San Mateo,San Mateo,San Mateo Consolidated Fire Department OPEN HOUSE 2023,https://www.eventbrite.com/e/san-mateo-consolidated-fire-department-open-house-2023-tickets-717372449307?aff=ebdssbdestsearch,,"Sat, Oct 7 •  10:00 AM ","SMCFD Fire Station 28 1040 E. Hillsdale Ave. Foster City, CA 94404",San Mateo Consolidated Fire Department,https://www.smcfire.org/,https://www.facebook.com/SMCFireDept/,https://www.twitter.com/SMCFireDept,
California,Alameda,Oakland,Oaktoberfest in the Dimond 2023,https://www.eventbrite.com/e/oaktoberfest-in-the-dimond-2023-tickets-601762055507?aff=ebdssbdestsearch,,Today • 11:00 AM,"Oakland's Dimond District MacArthur Boulevard & Fruitvale Avenue Oakland, CA 94602",Oaktoberfest in the Dimond,http://www.oaktoberfest.org/,https://www.facebook.com/OaktoberfestStreetfest,https://www.twitter.com/oaktoberfest,
California,Contra Costa,Richmond,Mobile Museum at Richmond Spirit and Soul Festival (Richmond) 10/14,https://www.eventbrite.com/e/mobile-museum-at-richmond-spirit-and-soul-festival-richmond-1014-tickets-722177120207?aff=ebdssbdestsearch,,"Sat, Oct 14 •  11:00 AM ","Downtown Richmond MacDonald Ave & 15th St. Richmond, CA 94801",Habitot Children's Museum,https://www.habitot.org,,,
California,San Francisco,San Francisco,DAYBREAKER SF // 10-YEAR TOGETHER TOUR NOV 5TH,https://www.eventbrite.com/e/daybreaker-sf-10-year-together-tour-nov-5th-tickets-699750461467?aff=ebdssbdestsearch,,"Sun, Nov 5 •  10:00 AM ","The Conservatory at One Sansome One Sansome St San Francisco, CA 94104",DAYBREAKER,,,,
California,San Francisco,San Francisco,Dark Thoughts,https://www.eventbrite.com/e/dark-thoughts-tickets-718196002577?aff=ebdssbdestsearch,,"Fri, Oct 13 •  7:30 PM ","Victoria Theatre 2961 16th Street San Francisco, CA 94103",DOG,,,,
California,San Francisco,San Francisco,Warm Up Ukraine: Fall,https://www.eventbrite.com/e/warm-up-ukraine-fall-tickets-696426880547?aff=ebdssbdestsearch,,"Sat, Oct 14 •  11:00 AM ","The Midway 900 Marin Street San Francisco, CA 94124",Leleka Foundation,https://www.leleka.care,https://www.facebook.com/lelekafoundation,https://www.twitter.com/Leleka_FDN,
California,San Francisco,San Francisco,SF International Tea Festival 2023,https://www.eventbrite.com/e/sf-international-tea-festival-2023-tickets-712627416787?aff=ebdssbdestsearch,,"Sat, Nov 4 •  11:00 AM  + 1 more","Ferry Building Marketplace 1 Ferry Building San Francisco, CA 94111",San Francisco International Tea Festival,,https://www.facebook.com/SFTeaFestival,https://www.twitter.com/SFTeaFestival,
California,Alameda,San Leandro,PEERS Annual Wellness Fair,https://www.eventbrite.com/e/peers-annual-wellness-fair-tickets-721440135867?aff=ebdssbdestsearch,,"Fri, Oct 13 •  10:00 AM ","San Leandro Marina 4001 Monarch Bay Dr, San Leandro, CA 94577 San Leandro, CA 94577",PEERS,https://www.peersnet.org,,,
California,San Francisco,San Francisco,RITUAL: A Halloween Art Market & Oddities Show  Presented by the Menagerie,https://www.eventbrite.com/e/ritual-a-halloween-art-market-oddities-show-presented-by-the-menagerie-tickets-707772736307?aff=ebdssbdestsearch,,"Sat, Oct 14 •  12:00 PM  + 1 more","The San Francisco Mint 88 5th Street San Francisco, CA 94103","The Menagerie Oddities Market, LLC",,https://www.facebook.com/themenageriealameda,,
California,Alameda,Oakland,11th Annual Piedmont Artisanal Beer Festival,https://www.eventbrite.com/e/11th-annual-piedmont-artisanal-beer-festival-tickets-692845749287?aff=ebdssbdestsearch,,"Fri, Oct 6 •  5:30 PM ","Piedmont Center for the Arts 801 Magnolia Avenue Piedmont, CA 94611",Piedmont Center for the Arts,,,,
California,Alameda,Berkeley,BORP Adaptive Sports Expo,https://www.eventbrite.com/e/borp-adaptive-sports-expo-registration-680476753287?aff=ebdssbdestsearch,,"Sat, Oct 14 •  10:00 AM ","James Kenney Community Center 1720 Eighth Street Berkeley, CA 94710",BORP Adaptive Sports and Recreation,http://www.borp.org,https://www.facebook.com/BORP.org,,
California,San Francisco,San Francisco,Harvest Festival,https://www.eventbrite.com/e/harvest-festival-tickets-705569446207?aff=ebdssbdestsearch,,"Sun, Oct 29 •  11:00 AM ","Gordan Practice Field @ SI 2001 37th Avenue San Francisco, CA 94116",FSA Parents Club,,,,
California,San Francisco,San Francisco,"Western Addition Music Festival! Live Music, Kids Zone & more - RSVP 4 FREE",https://www.eventbrite.com/e/western-addition-music-festival-live-music-kids-zone-more-rsvp-4-free-tickets-727842224687?aff=ebdssbdestsearch,,"Sat, Oct 14 •  11:00 AM ","1330 Fillmore St 1330 Fillmore Street San Francisco, CA 94115",Juneteenth SF,,,,
California,Contra Costa,Lafayette,Lafayette Sustainable Sunday,https://www.eventbrite.com/e/lafayette-sustainable-sunday-tickets-673973842907?aff=ebdssbdestsearch,,Tomorrow • 3:00 PM,"500 St Marys Rd, Lafayette, CA, USA 500 Saint Marys Road Jennifer Russell Building, Lafayette Community Center Lafayette, CA 94549",,,,,
California,San Francisco,San Francisco,A Taste of México,https://www.eventbrite.com/e/a-taste-of-mexico-tickets-665806524237?aff=ebdssbdestsearch,,"Wed, Nov 1 •  7:00 PM ","The Clocktower Lofts 461 2nd Street Unit 237 San Francisco, CA 94107",Taste of Talent,http://www.tasteoftalent.org,https://www.facebook.com/2175487479380765,,
California,San Francisco,San Francisco,Art Walk SF - Glen Park,https://www.eventbrite.com/e/art-walk-sf-glen-park-tickets-711626021587?aff=ebdssbdestsearch,,"Sat, Oct 7 •  12:00 PM ","Glen Park 2800 Diamond San Francisco, CA 94131",ART WALK SF,,,,
California,Alameda,Berkeley,Berkeley Flea Market Jazz Days Event,https://www.eventbrite.com/e/berkeley-flea-market-jazz-days-event-tickets-716444874907?aff=ebdssbdestsearch,,"Sat, Oct 7 •  9:00 AM ","Berkeley Flea Market 1937 Ashby Avenue Berkeley, CA 94703",Official Berkeley Flea Market,,,,
California,Alameda,Oakland,Last of Summer,https://www.eventbrite.com/e/last-of-summer-tickets-726281135427?aff=ebdssbdestsearch,,Today • 2:00 PM,"The Continental Club 1658 12th Street Oakland, CA 94607",Continental Club,,,,
California,San Francisco,San Francisco,FUTURA - SF FASHION FESTIVAL 23,https://www.eventbrite.com/e/futura-sf-fashion-festival-23-tickets-712212094547?aff=ebdssbdestsearch,,"Sat, Oct 7 •  5:00 PM ","W San Francisco, 3rd Street, San Francisco, CA, USA 181 3rd Street San Francisco, CA 94103",San Francisco Fashion Festival,,,,
California,Alameda,Alameda,Veterans Day on the USS Hornet-Free Admission!,https://www.eventbrite.com/e/veterans-day-on-the-uss-hornet-free-admission-tickets-709622037617?aff=ebdssbdestsearch,,"Sat, Nov 11 •  9:30 AM ","USS Hornet Museum 707 W Hornet Ave Alameda, CA 94501","USS Hornet Sea, Air & Space Museum",,https://www.facebook.com/usshornetmuseum,https://www.twitter.com/hornetmuseum,
California,Alameda,Oakland,Vibes On Vibes Festival,https://www.eventbrite.com/e/vibes-on-vibes-festival-tickets-705097163597?aff=ebdssbdestsearch,,"Sat, Oct 21 •  1:00 PM ","ForTheCulture Oak 701 Clay Street Oakland, CA 94607",VibeHauss,https://vibehauss.com,,,
California,San Francisco,San Francisco,Art Walk SF - Glen Park - VIP,https://www.eventbrite.com/e/art-walk-sf-glen-park-vip-tickets-719947220517?aff=ebdssbdestsearch,,"Wed, Oct 25 •  12:00 PM ","Glen Park 2800 Diamond San Francisco, CA 94131",ART WALK SF,,,,
